Kilometres;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Punto Evo 1.2 gaz;
176000;13359.2;26026.48;25859.44;16050.8;
177000;13368.4;26103.96;25914.38;16071.6;
178000;13377.6;26181.44;25969.32;16092.4;
179000;13386.8;26258.92;26024.26;16113.2;
180000;13396.0;26336.4;26079.2;16134.0;
181000;13405.2;26413.88;26134.14;16154.8;
182000;13414.4;26491.36;26189.08;16175.6;
183000;13423.6;26568.84;26244.02;16196.4;
184000;13432.8;26646.32;26298.96;16217.2;
185000;13442.0;26723.8;26353.9;16238.0;
186000;13451.2;26801.28;26408.84;16258.8;
187000;13460.4;26878.76;26463.78;16279.6;
188000;13849.6;26956.24;27018.72;16300.4;
189000;13858.8;27033.72;27073.66;16321.2;
190000;13868.0;27111.2;27128.6;16342.0;
191000;13877.2;27188.68;27183.54;16362.8;
192000;13886.4;27266.16;27238.48;16383.6;
193000;13895.6;27343.64;27293.42;16404.4;
194000;13904.8;27421.12;27348.36;16425.2;
195000;13914.0;27498.6;27403.3;16446.0;
196000;13923.2;27576.08;27458.24;16466.8;
197000;13932.4;27653.56;27513.18;16487.6;
198000;13941.6;27731.04;27568.12;16508.4;
199000;13950.8;27808.52;27623.06;16529.2;
200000;13960.0;27886.0;27678.0;16550.0;
201000;13969.2;27963.48;27732.94;16570.8;
202000;13978.4;28040.96;27787.88;16591.6;
203000;13987.6;28118.44;27842.82;16612.4;
204000;13996.8;28195.92;27897.76;16633.2;
205000;14006.0;28273.4;27952.7;16654.0;
206000;14015.2;28350.88;28007.64;16674.8;
207000;14024.4;28428.36;28062.58;16695.6;
208000;14033.6;28505.84;28117.52;16716.4;
209000;14042.8;28583.32;28172.46;16737.2;
210000;14052.0;28660.8;28227.4;16758.0;
211000;14061.2;28738.28;28282.34;16778.8;
212000;14070.4;28815.76;28337.28;16799.6;
213000;14079.6;28893.24;28392.22;16820.4;
214000;14088.8;28970.72;28447.16;16841.2;
215000;14098.0;29048.2;28502.1;16862.0;
216000;14107.2;29125.68;28557.04;16882.8;
217000;14116.4;29203.16;28611.98;16903.6;
218000;14125.6;29280.64;28666.92;16924.4;
219000;14134.8;29358.12;28721.86;16945.2;
220000;14144.0;29435.6;28776.8;16966.0;
221000;14153.2;29513.08;28831.74;16986.8;
222000;14162.4;29590.56;28886.68;17007.6;
223000;14171.6;29668.04;28941.62;17028.4;
224000;14180.8;29745.52;28996.56;17049.2;
225000;14190.0;29823.0;29051.5;17070.0;
226000;14199.2;29900.48;29106.44;17090.8;
227000;14208.4;29977.96;29161.38;17111.6;
228000;14217.6;30055.44;29216.32;17132.4;
229000;14226.8;30132.92;29271.26;17153.2;
230000;14236.0;30210.4;29326.2;17174.0;
231000;14245.2;30287.88;29381.14;17194.8;
232000;14254.4;30365.36;29436.08;17215.6;
233000;14263.6;30442.84;29491.02;17236.4;
234000;14272.8;30520.32;29545.96;17257.2;
235000;14662.0;30597.8;30100.9;17278.0;
236000;14671.2;30675.28;30155.84;17298.8;
237000;14680.4;30752.76;30210.78;17319.6;
238000;14689.6;30830.24;30265.72;17340.4;
239000;14698.8;30907.72;30320.66;17361.2;
240000;14708.0;30985.2;30375.6;17382.0;
241000;14717.2;31062.68;30430.54;17402.8;
242000;14726.4;31140.16;30485.48;17423.6;
243000;14735.6;31217.64;30540.42;17444.4;
244000;14744.8;31295.12;30595.36;17465.2;
245000;14754.0;31372.6;30650.3;17486.0;
246000;14763.2;31450.08;30705.24;17506.8;
247000;14772.4;31527.56;30760.18;17527.6;
248000;14781.6;31605.04;30815.12;17548.4;
249000;14790.8;31682.52;30870.06;17569.2;
250000;14800.0;31760.0;30925.0;17590.0;
251000;14809.2;31837.48;30979.94;17610.8;
252000;14818.4;31914.96;31034.88;17631.6;
253000;14827.6;31992.44;31089.82;17652.4;
254000;14836.8;32069.92;31144.76;17673.2;
255000;14846.0;32147.4;31199.7;17694.0;
256000;14855.2;32224.88;31254.64;17714.8;
257000;14864.4;32302.36;31309.58;17735.6;
258000;14873.6;32379.84;31364.52;17756.4;
259000;14882.8;32457.32;31419.46;17777.2;
260000;14892.0;32534.8;31474.4;17798.0;
261000;14901.2;32612.28;31529.34;17818.8;
262000;14910.4;32689.76;31584.28;17839.6;
263000;14919.6;32767.24;31639.22;17860.4;
264000;14928.8;32844.72;31694.16;17881.2;
265000;14938.0;32922.2;31749.1;17902.0;
266000;14947.2;32999.68;31804.04;17922.8;
267000;14956.4;33077.16;31858.98;17943.6;
268000;14965.6;33154.64;31913.92;17964.4;
269000;14974.8;33232.12;31968.86;17985.2;
270000;14984.0;33309.6;32023.8;18006.0;
271000;14993.2;33387.08;32078.74;18026.8;
272000;15002.4;33464.56;32133.68;18047.6;
273000;15011.6;33542.04;32188.62;18068.4;
274000;15020.8;33619.52;32243.56;18089.2;
275000;15030.0;33697.0;32298.5;18110.0;
276000;15039.2;33774.48;32353.44;18130.8;
277000;15048.4;33851.96;32408.38;18151.6;
278000;15057.6;33929.44;32463.32;18172.4;
279000;15066.8;34006.92;32518.26;18193.2;
280000;15076.0;34084.4;32573.2;18214.0;
281000;15085.2;34161.88;32628.14;18234.8;
282000;15474.4;34239.36;33183.08;18255.6;
283000;15483.6;34316.84;33238.02;18276.4;
284000;15492.8;34394.32;33292.96;18297.2;
285000;15502.0;34471.8;33347.9;18318.0;
286000;15511.2;34549.28;33402.84;18338.8;
287000;15520.4;34626.76;33457.78;18359.6;
288000;15529.6;34704.24;33512.72;18380.4;
289000;15538.8;34781.72;33567.66;18401.2;
290000;15548.0;34859.2;33622.6;18422.0;
291000;15557.2;34936.68;33677.54;18442.8;
292000;15566.4;35014.16;33732.48;18463.6;
293000;15575.6;35091.64;33787.42;18484.4;
294000;15584.8;35169.12;33842.36;18505.2;
295000;15594.0;35246.6;33897.3;18526.0;
296000;15603.2;35324.08;33952.24;18546.8;
297000;15612.4;35401.56;34007.18;18567.6;
298000;15621.6;35479.04;34062.12;18588.4;
299000;15630.8;35556.52;34117.06;18609.2;
300000;15640.0;35634.0;34172.0;18630.0;
