Kilometres;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Punto Evo 1.2 gaz;
0;10600.0;12390.0;14690.0;12390.0;
1000;10609.2;12467.48;14744.94;12410.8;
2000;10618.4;12544.96;14799.88;12431.6;
3000;10627.6;12622.44;14854.82;12452.4;
4000;10636.8;12699.92;14909.76;12473.2;
5000;10646.0;12777.4;14964.7;12494.0;
6000;10655.2;12854.88;15019.64;12514.8;
7000;10664.4;12932.36;15074.58;12535.6;
8000;10673.6;13009.84;15129.52;12556.4;
9000;10682.8;13087.32;15184.46;12577.2;
10000;10692.0;13164.8;15239.4;12598.0;
11000;10701.2;13242.28;15294.34;12618.8;
12000;10710.4;13319.76;15349.28;12639.6;
13000;10719.6;13397.24;15404.22;12660.4;
14000;10728.8;13474.72;15459.16;12681.2;
15000;10738.0;13552.2;15514.1;12702.0;
16000;10747.2;13629.68;15569.04;12722.8;
17000;10756.4;13707.16;15623.98;12743.6;
18000;10765.6;13784.64;15678.92;12764.4;
19000;10774.8;13862.12;15733.86;12785.2;
20000;10784.0;13939.6;15788.8;12806.0;
21000;10793.2;14017.08;15843.74;12826.8;
22000;10802.4;14094.56;15898.68;12847.6;
23000;10811.6;14172.04;15953.62;12868.4;
24000;10820.8;14249.52;16008.56;12889.2;
25000;10830.0;14327.0;16063.5;12910.0;
26000;10839.2;14404.48;16118.44;12930.8;
27000;10848.4;14481.96;16173.38;12951.6;
28000;10857.6;14559.44;16228.32;12972.4;
29000;10866.8;14636.92;16283.26;12993.2;
30000;10876.0;14714.4;16338.2;13014.0;
31000;10885.2;14791.88;16393.14;13034.8;
32000;10894.4;14869.36;16448.08;13055.6;
33000;10903.6;14946.84;16503.02;13076.4;
34000;10912.8;15024.32;16557.96;13097.2;
35000;10922.0;15101.8;16612.9;13118.0;
36000;10931.2;15179.28;16667.84;13138.8;
37000;10940.4;15256.76;16722.78;13159.6;
38000;10949.6;15334.24;16777.72;13180.4;
39000;10958.8;15411.72;16832.66;13201.2;
40000;10968.0;15489.2;16887.6;13222.0;
41000;10977.2;15566.68;16942.54;13242.8;
42000;10986.4;15644.16;16997.48;13263.6;
43000;10995.6;15721.64;17052.42;13284.4;
44000;11004.8;15799.12;17107.36;13305.2;
45000;11014.0;15876.6;17162.3;13326.0;
46000;11023.2;15954.08;17217.24;13346.8;
47000;11412.4;16031.56;17772.18;13367.6;
48000;11421.6;16109.04;17827.12;13388.4;
49000;11430.8;16186.52;17882.06;13409.2;
50000;11440.0;16264.0;17937.0;13430.0;
51000;11449.2;16341.48;17991.94;13450.8;
52000;11458.4;16418.96;18046.88;13471.6;
53000;11467.6;16496.44;18101.82;13492.4;
54000;11476.8;16573.92;18156.76;13513.2;
55000;11486.0;16651.4;18211.7;13534.0;
56000;11495.2;16728.88;18266.64;13554.8;
57000;11504.4;16806.36;18321.58;13575.6;
58000;11513.6;16883.84;18376.52;13596.4;
59000;11522.8;16961.32;18431.46;13617.2;
60000;11532.0;17038.8;18486.4;13638.0;
61000;11541.2;17116.28;18541.34;13658.8;
62000;11550.4;17193.76;18596.28;13679.6;
63000;11559.6;17271.24;18651.22;13700.4;
64000;11568.8;17348.72;18706.16;13721.2;
65000;11578.0;17426.2;18761.1;13742.0;
66000;11587.2;17503.68;18816.04;13762.8;
67000;11596.4;17581.16;18870.98;13783.6;
68000;11605.6;17658.64;18925.92;13804.4;
69000;11614.8;17736.12;18980.86;13825.2;
70000;11624.0;17813.6;19035.8;13846.0;
71000;11633.2;17891.08;19090.74;13866.8;
72000;11642.4;17968.56;19145.68;13887.6;
73000;11651.6;18046.04;19200.62;13908.4;
74000;11660.8;18123.52;19255.56;13929.2;
75000;11670.0;18201.0;19310.5;13950.0;
76000;11679.2;18278.48;19365.44;13970.8;
77000;11688.4;18355.96;19420.38;13991.6;
78000;11697.6;18433.44;19475.32;14012.4;
79000;11706.8;18510.92;19530.26;14033.2;
80000;11716.0;18588.4;19585.2;14054.0;
81000;11725.2;18665.88;19640.14;14074.8;
82000;11734.4;18743.36;19695.08;14095.6;
83000;11743.6;18820.84;19750.02;14116.4;
84000;11752.8;18898.32;19804.96;14137.2;
85000;11762.0;18975.8;19859.9;14158.0;
86000;11771.2;19053.28;19914.84;14178.8;
87000;11780.4;19130.76;19969.78;14199.6;
88000;11789.6;19208.24;20024.72;14220.4;
89000;11798.8;19285.72;20079.66;14241.2;
90000;11808.0;19363.2;20134.6;14262.0;
91000;11817.2;19440.68;20189.54;14282.8;
92000;11826.4;19518.16;20244.48;14303.6;
93000;11835.6;19595.64;20299.42;14324.4;
94000;12224.8;19673.12;20854.36;14345.2;
95000;12234.0;19750.6;20909.3;14366.0;
96000;12243.2;19828.08;20964.24;14386.8;
97000;12252.4;19905.56;21019.18;14407.6;
98000;12261.6;19983.04;21074.12;14428.4;
99000;12270.8;20060.52;21129.06;14449.2;
100000;12280.0;20138.0;21184.0;14470.0;
101000;12289.2;20215.48;21238.94;14490.8;
102000;12298.4;20292.96;21293.88;14511.6;
103000;12307.6;20370.44;21348.82;14532.4;
104000;12316.8;20447.92;21403.76;14553.2;
105000;12326.0;20525.4;21458.7;14574.0;
106000;12335.2;20602.88;21513.64;14594.8;
107000;12344.4;20680.36;21568.58;14615.6;
108000;12353.6;20757.84;21623.52;14636.4;
109000;12362.8;20835.32;21678.46;14657.2;
110000;12372.0;20912.8;21733.4;14678.0;
111000;12381.2;20990.28;21788.34;14698.8;
112000;12390.4;21067.76;21843.28;14719.6;
113000;12399.6;21145.24;21898.22;14740.4;
114000;12408.8;21222.72;21953.16;14761.2;
115000;12418.0;21300.2;22008.1;14782.0;
116000;12427.2;21377.68;22063.04;14802.8;
117000;12436.4;21455.16;22117.98;14823.6;
118000;12445.6;21532.64;22172.92;14844.4;
119000;12454.8;21610.12;22227.86;14865.2;
120000;12464.0;21687.6;22282.8;14886.0;
121000;12473.2;21765.08;22337.74;14906.8;
122000;12482.4;21842.56;22392.68;14927.6;
123000;12491.6;21920.04;22447.62;14948.4;
124000;12500.8;21997.52;22502.56;14969.2;
125000;12510.0;22075.0;22557.5;14990.0;
126000;12519.2;22152.48;22612.44;15010.8;
127000;12528.4;22229.96;22667.38;15031.6;
128000;12537.6;22307.44;22722.32;15052.4;
129000;12546.8;22384.92;22777.26;15073.2;
130000;12556.0;22462.4;22832.2;15094.0;
131000;12565.2;22539.88;22887.14;15114.8;
132000;12574.4;22617.36;22942.08;15135.6;
133000;12583.6;22694.84;22997.02;15156.4;
134000;12592.8;22772.32;23051.96;15177.2;
135000;12602.0;22849.8;23106.9;15198.0;
136000;12611.2;22927.28;23161.84;15218.8;
137000;12620.4;23004.76;23216.78;15239.6;
138000;12629.6;23082.24;23271.72;15260.4;
139000;12638.8;23159.72;23326.66;15281.2;
140000;12648.0;23237.2;23381.6;15302.0;
141000;13037.2;23314.68;23936.54;15322.8;
142000;13046.4;23392.16;23991.48;15343.6;
143000;13055.6;23469.64;24046.42;15364.4;
144000;13064.8;23547.12;24101.36;15385.2;
145000;13074.0;23624.6;24156.3;15406.0;
146000;13083.2;23702.08;24211.24;15426.8;
147000;13092.4;23779.56;24266.18;15447.6;
148000;13101.6;23857.04;24321.12;15468.4;
149000;13110.8;23934.52;24376.06;15489.2;
150000;13120.0;24012.0;24431.0;15510.0;
151000;13129.2;24089.48;24485.94;15530.8;
152000;13138.4;24166.96;24540.88;15551.6;
153000;13147.6;24244.44;24595.82;15572.4;
154000;13156.8;24321.92;24650.76;15593.2;
155000;13166.0;24399.4;24705.7;15614.0;
156000;13175.2;24476.88;24760.64;15634.8;
157000;13184.4;24554.36;24815.58;15655.6;
158000;13193.6;24631.84;24870.52;15676.4;
159000;13202.8;24709.32;24925.46;15697.2;
160000;13212.0;24786.8;24980.4;15718.0;
161000;13221.2;24864.28;25035.34;15738.8;
162000;13230.4;24941.76;25090.28;15759.6;
163000;13239.6;25019.24;25145.22;15780.4;
164000;13248.8;25096.72;25200.16;15801.2;
165000;13258.0;25174.2;25255.1;15822.0;
166000;13267.2;25251.68;25310.04;15842.8;
167000;13276.4;25329.16;25364.98;15863.6;
168000;13285.6;25406.64;25419.92;15884.4;
169000;13294.8;25484.12;25474.86;15905.2;
170000;13304.0;25561.6;25529.8;15926.0;
171000;13313.2;25639.08;25584.74;15946.8;
172000;13322.4;25716.56;25639.68;15967.6;
173000;13331.6;25794.04;25694.62;15988.4;
174000;13340.8;25871.52;25749.56;16009.2;
175000;13350.0;25949.0;25804.5;16030.0;
