Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Panda 1.2 e;Fiat Panda 1.3 d;
112000;24401.216;20557.408;21294.896;20746.848;17741.152;17804.576;
113000;24463.209;20627.742;21374.404;20800.927;17816.073;17859.974;
114000;24525.202;20698.076;21453.912;20855.006;17890.994;17915.372;
115000;24587.195;20768.41;21533.42;20909.085;17965.915;17970.77;
116000;24649.188;20838.744;21612.928;20963.164;18040.836;18026.168;
117000;24711.181;20909.078;21692.436;21017.243;18115.757;18081.566;
118000;24773.174;20979.412;21771.944;21071.322;18190.678;18136.964;
119000;24835.167;21049.746;21851.452;21125.401;18265.599;18192.362;
120000;25017.16;21230.08;21930.96;21179.48;18340.52;18247.76;
121000;25079.153;21300.414;22010.468;21233.559;18415.441;18303.158;
122000;25141.146;21370.748;22089.976;21287.638;18490.362;18358.556;
123000;25203.139;21441.082;22169.484;21341.717;18565.283;18413.954;
124000;25265.132;21511.416;22248.992;21395.796;18640.204;18469.352;
125000;25327.125;21581.75;22328.5;21449.875;18715.125;18524.75;
126000;25389.118;21652.084;22408.008;21503.954;18790.046;18580.148;
127000;25451.111;21722.418;22487.516;21558.033;18864.967;18635.546;
128000;25513.104;21792.752;22567.024;21612.112;18939.888;18690.944;
129000;25575.097;21863.086;22646.532;21666.191;19014.809;18746.342;
130000;25637.09;21933.42;22726.04;21720.27;19089.73;18801.74;
131000;25699.083;22003.754;22805.548;21774.349;19164.651;18857.138;
132000;25761.076;22074.088;22885.056;21828.428;19239.572;18912.536;
133000;25823.069;22144.422;22964.564;21882.507;19314.493;18967.934;
134000;25885.062;22214.756;23044.072;21936.586;19389.414;19023.332;
135000;26067.055;22395.09;23123.58;21990.665;19464.335;19078.73;
136000;26129.048;22465.424;23203.088;22044.744;19539.256;19134.128;
137000;26191.041;22535.758;23282.596;22098.823;19614.177;19189.526;
138000;26253.034;22606.092;23362.104;22152.902;19689.098;19244.924;
139000;26315.027;22676.426;23441.612;22206.981;19764.019;19300.322;
140000;26377.02;22746.76;23521.12;22261.06;19838.94;19355.72;
141000;26973.013;23197.094;23600.628;22315.139;19913.861;19411.118;
142000;27035.006;23267.428;23680.136;22369.218;19988.782;19466.516;
143000;27096.999;23337.762;23759.644;22423.297;20063.703;19521.914;
144000;27158.992;23408.096;23839.152;22477.376;20138.624;19577.312;
145000;27220.985;23478.43;23918.66;22531.455;20213.545;19632.71;
146000;27282.978;23548.764;23998.168;22585.534;20288.466;19688.108;
147000;27344.971;23619.098;24077.676;22639.613;20363.387;19743.506;
148000;27406.964;23689.432;24157.184;22693.692;20438.308;19798.904;
149000;27468.957;23759.766;24236.692;22747.771;20513.229;19854.302;
150000;27650.95;23940.1;24316.2;22801.85;20588.15;19909.7;
151000;27712.943;24010.434;24395.708;22855.929;20663.071;19965.098;
152000;27774.936;24080.768;24475.216;22910.008;20737.992;20020.496;
153000;27836.929;24151.102;24554.724;22964.087;20812.913;20075.894;
154000;27898.922;24221.436;24634.232;23018.166;20887.834;20131.292;
155000;27960.915;24291.77;24713.74;23072.245;20962.755;20186.69;
156000;28022.908;24362.104;24793.248;23126.324;21037.676;20242.088;
157000;28084.901;24432.438;24872.756;23180.403;21112.597;20297.486;
158000;28146.894;24502.772;24952.264;23234.482;21187.518;20352.884;
159000;28208.887;24573.106;25031.772;23288.561;21262.439;20408.282;
160000;28270.88;24643.44;25111.28;23342.64;21337.36;20463.68;
161000;28332.873;24713.774;25190.788;23396.719;21412.281;20519.078;
162000;28394.866;24784.108;25270.296;23450.798;21487.202;20574.476;
163000;28456.859;24854.442;25349.804;23504.877;21562.123;20629.874;
164000;28518.852;24924.776;25429.312;23558.956;21637.044;20685.272;
165000;28700.845;25105.11;25508.82;23613.035;21711.965;20740.67;
166000;28762.838;25175.444;25588.328;23667.114;21786.886;20796.068;
167000;28824.831;25245.778;25667.836;23721.193;21861.807;20851.466;
168000;28886.824;25316.112;25747.344;23775.272;21936.728;20906.864;
169000;28948.817;25386.446;25826.852;23829.351;22011.649;20962.262;
170000;29010.81;25456.78;25906.36;23883.43;22086.57;21017.66;
171000;29072.803;25527.114;25985.868;23937.509;22161.491;21073.058;
172000;29134.796;25597.448;26065.376;23991.588;22236.412;21128.456;
173000;29196.789;25667.782;26144.884;24045.667;22311.333;21183.854;
174000;29258.782;25738.116;26224.392;24099.746;22386.254;21239.252;
175000;29320.775;25808.45;26303.9;24153.825;22461.175;21294.65;
176000;29382.768;25878.784;26383.408;24207.904;22536.096;21350.048;
177000;29444.761;25949.118;26462.916;24261.983;22611.017;21405.446;
178000;29506.754;26019.452;26542.424;24316.062;22685.938;21460.844;
179000;29568.747;26089.786;26621.932;24370.141;22760.859;21516.242;
180000;30500.74;26820.12;26701.44;24424.22;22835.78;21571.64;
181000;30562.733;26890.454;26780.948;24478.299;22910.701;21627.038;
182000;30624.726;26960.788;26860.456;24532.378;22985.622;21682.436;
183000;30686.719;27031.122;26939.964;24586.457;23060.543;21737.834;
184000;30748.712;27101.456;27019.472;24640.536;23135.464;21793.232;
185000;30810.705;27171.79;27098.98;24694.615;23210.385;21848.63;
186000;30872.698;27242.124;27178.488;24748.694;23285.306;21904.028;
187000;30934.691;27312.458;27257.996;24802.773;23360.227;21959.426;
188000;31530.684;27762.792;27337.504;24856.852;23435.148;22014.824;
189000;31592.677;27833.126;27417.012;24910.931;23510.069;22070.222;
190000;31654.67;27903.46;27496.52;24965.01;23584.99;22125.62;
191000;31716.663;27973.794;27576.028;25019.089;23659.911;22181.018;
192000;31778.656;28044.128;27655.536;25073.168;23734.832;22236.416;
193000;31840.649;28114.462;27735.044;25127.247;23809.753;22291.814;
194000;31902.642;28184.796;27814.552;25181.326;23884.674;22347.212;
195000;32084.635;28365.13;27894.06;25235.405;23959.595;22402.61;
196000;32146.628;28435.464;27973.568;25289.484;24034.516;22458.008;
197000;32208.621;28505.798;28053.076;25343.563;24109.437;22513.406;
198000;32270.614;28576.132;28132.584;25397.642;24184.358;22568.804;
199000;32332.607;28646.466;28212.092;25451.721;24259.279;22624.202;
200000;32394.6;28716.8;28291.6;25505.8;24334.2;22679.6;
201000;32456.593;28787.134;28371.108;25559.879;24409.121;22734.998;
202000;32518.586;28857.468;28450.616;25613.958;24484.042;22790.396;
203000;32580.579;28927.802;28530.124;25668.037;24558.963;22845.794;
204000;32642.572;28998.136;28609.632;25722.116;24633.884;22901.192;
205000;32704.565;29068.47;28689.14;25776.195;24708.805;22956.59;
206000;32766.558;29138.804;28768.648;25830.274;24783.726;23011.988;
207000;32828.551;29209.138;28848.156;25884.353;24858.647;23067.386;
208000;32890.544;29279.472;28927.664;25938.432;24933.568;23122.784;
209000;32952.537;29349.806;29007.172;25992.511;25008.489;23178.182;
210000;33134.53;29530.14;29086.68;26046.59;25083.41;23233.58;
211000;33196.523;29600.474;29166.188;26100.669;25158.331;23288.978;
212000;33258.516;29670.808;29245.696;26154.748;25233.252;23344.376;
213000;33320.509;29741.142;29325.204;26208.827;25308.173;23399.774;
214000;33382.502;29811.476;29404.712;26262.906;25383.094;23455.172;
215000;33444.495;29881.81;29484.22;26316.985;25458.015;23510.57;
216000;33506.488;29952.144;29563.728;26371.064;25532.936;23565.968;
217000;33568.481;30022.478;29643.236;26425.143;25607.857;23621.366;
218000;33630.474;30092.812;29722.744;26479.222;25682.778;23676.764;
219000;33692.467;30163.146;29802.252;26533.301;25757.699;23732.162;
220000;33754.46;30233.48;29881.76;26587.38;25832.62;23787.56;
221000;33816.453;30303.814;29961.268;26641.459;25907.541;23842.958;
222000;33878.446;30374.148;30040.776;26695.538;25982.462;23898.356;
223000;33940.439;30444.482;30120.284;26749.617;26057.383;23953.754;
224000;34002.432;30514.816;30199.792;26803.696;26132.304;24009.152;
225000;34184.425;30695.15;30279.3;26857.775;26207.225;24064.55;
226000;34246.418;30765.484;30358.808;26911.854;26282.146;24119.948;
227000;34308.411;30835.818;30438.316;26965.933;26357.067;24175.346;
228000;34370.404;30906.152;30517.824;27020.012;26431.988;24230.744;
229000;34432.397;30976.486;30597.332;27074.091;26506.909;24286.142;
230000;34494.39;31046.82;30676.84;27128.17;26581.83;24341.54;
231000;34556.383;31117.154;30756.348;27182.249;26656.751;24396.938;
232000;34618.376;31187.488;30835.856;27236.328;26731.672;24452.336;
233000;34680.369;31257.822;30915.364;27290.407;26806.593;24507.734;
234000;34742.362;31328.156;30994.872;27344.486;26881.514;24563.132;
235000;35338.355;31778.49;31074.38;27398.565;26956.435;24618.53;
236000;35400.348;31848.824;31153.888;27452.644;27031.356;24673.928;
237000;35462.341;31919.158;31233.396;27506.723;27106.277;24729.326;
238000;35524.334;31989.492;31312.904;27560.802;27181.198;24784.724;
239000;35586.327;32059.826;31392.412;27614.881;27256.119;24840.122;
240000;35768.32;32240.16;31471.92;27668.96;27331.04;24895.52;
241000;35830.313;32310.494;31551.428;27723.039;27405.961;24950.918;
242000;35892.306;32380.828;31630.936;27777.118;27480.882;25006.316;
243000;35954.299;32451.162;31710.444;27831.197;27555.803;25061.714;
244000;36016.292;32521.496;31789.952;27885.276;27630.724;25117.112;
245000;36078.285;32591.83;31869.46;27939.355;27705.645;25172.51;
246000;36140.278;32662.164;31948.968;27993.434;27780.566;25227.908;
247000;36202.271;32732.498;32028.476;28047.513;27855.487;25283.306;
248000;36264.264;32802.832;32107.984;28101.592;27930.408;25338.704;
249000;36326.257;32873.166;32187.492;28155.671;28005.329;25394.102;
250000;36388.25;32943.5;32267.0;28209.75;28080.25;25449.5;
251000;36450.243;33013.834;32346.508;28263.829;28155.171;25504.898;
252000;36512.236;33084.168;32426.016;28317.908;28230.092;25560.296;
253000;36574.229;33154.502;32505.524;28371.987;28305.013;25615.694;
254000;36636.222;33224.836;32585.032;28426.066;28379.934;25671.092;
255000;36818.215;33405.17;32664.54;28480.145;28454.855;25726.49;
256000;36880.208;33475.504;32744.048;28534.224;28529.776;25781.888;
257000;36942.201;33545.838;32823.556;28588.303;28604.697;25837.286;
258000;37004.194;33616.172;32903.064;28642.382;28679.618;25892.684;
259000;37066.187;33686.506;32982.572;28696.461;28754.539;25948.082;
260000;37128.18;33756.84;33062.08;28750.54;28829.46;26003.48;
261000;37190.173;33827.174;33141.588;28804.619;28904.381;26058.878;
262000;37252.166;33897.508;33221.096;28858.698;28979.302;26114.276;
263000;37314.159;33967.842;33300.604;28912.777;29054.223;26169.674;
264000;37376.152;34038.176;33380.112;28966.856;29129.144;26225.072;
265000;37438.145;34108.51;33459.62;29020.935;29204.065;26280.47;
266000;37500.138;34178.844;33539.128;29075.014;29278.986;26335.868;
267000;37562.131;34249.178;33618.636;29129.093;29353.907;26391.266;
268000;37624.124;34319.512;33698.144;29183.172;29428.828;26446.664;
269000;37686.117;34389.846;33777.652;29237.251;29503.749;26502.062;
270000;38618.11;35120.18;33857.16;29291.33;29578.67;26557.46;
271000;38680.103;35190.514;33936.668;29345.409;29653.591;26612.858;
272000;38742.096;35260.848;34016.176;29399.488;29728.512;26668.256;
273000;38804.089;35331.182;34095.684;29453.567;29803.433;26723.654;
274000;38866.082;35401.516;34175.192;29507.646;29878.354;26779.052;
275000;38928.075;35471.85;34254.7;29561.725;29953.275;26834.45;
276000;38990.068;35542.184;34334.208;29615.804;30028.196;26889.848;
277000;39052.061;35612.518;34413.716;29669.883;30103.117;26945.246;
278000;39114.054;35682.852;34493.224;29723.962;30178.038;27000.644;
279000;39176.047;35753.186;34572.732;29778.041;30252.959;27056.042;
280000;39238.04;35823.52;34652.24;29832.12;30327.88;27111.44;
281000;39300.033;35893.854;34731.748;29886.199;30402.801;27166.838;
282000;39896.026;36344.188;34811.256;29940.278;30477.722;27222.236;
283000;39958.019;36414.522;34890.764;29994.357;30552.643;27277.634;
284000;40020.012;36484.856;34970.272;30048.436;30627.564;27333.032;
285000;40202.005;36665.19;35049.78;30102.515;30702.485;27388.43;
286000;40263.998;36735.524;35129.288;30156.594;30777.406;27443.828;
287000;40325.991;36805.858;35208.796;30210.673;30852.327;27499.226;
288000;40387.984;36876.192;35288.304;30264.752;30927.248;27554.624;
289000;40449.977;36946.526;35367.812;30318.831;31002.169;27610.022;
290000;40511.97;37016.86;35447.32;30372.91;31077.09;27665.42;
291000;40573.963;37087.194;35526.828;30426.989;31152.011;27720.818;
292000;40635.956;37157.528;35606.336;30481.068;31226.932;27776.216;
293000;40697.949;37227.862;35685.844;30535.147;31301.853;27831.614;
294000;40759.942;37298.196;35765.352;30589.226;31376.774;27887.012;
295000;40821.935;37368.53;35844.86;30643.305;31451.695;27942.41;
296000;40883.928;37438.864;35924.368;30697.384;31526.616;27997.808;
297000;40945.921;37509.198;36003.876;30751.463;31601.537;28053.206;
298000;41007.914;37579.532;36083.384;30805.542;31676.458;28108.604;
299000;41069.907;37649.866;36162.892;30859.621;31751.379;28164.002;
300000;41251.9;37830.2;36242.4;30913.7;31826.3;28219.4;
