Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Panda 1.2 e;Fiat Panda 1.3 d;
0;14800.0;10600.0;12390.0;14690.0;9350.0;11600.0;
1000;14861.993;10670.334;12469.508;14744.079;9424.921;11655.398;
2000;14923.986;10740.668;12549.016;14798.158;9499.842;11710.796;
3000;14985.979;10811.002;12628.524;14852.237;9574.763;11766.194;
4000;15047.972;10881.336;12708.032;14906.316;9649.684;11821.592;
5000;15109.965;10951.67;12787.54;14960.395;9724.605;11876.99;
6000;15171.958;11022.004;12867.048;15014.474;9799.526;11932.388;
7000;15233.951;11092.338;12946.556;15068.553;9874.447;11987.786;
8000;15295.944;11162.672;13026.064;15122.632;9949.368;12043.184;
9000;15357.937;11233.006;13105.572;15176.711;10024.289;12098.582;
10000;15419.93;11303.34;13185.08;15230.79;10099.21;12153.98;
11000;15481.923;11373.674;13264.588;15284.869;10174.131;12209.378;
12000;15543.916;11444.008;13344.096;15338.948;10249.052;12264.776;
13000;15605.909;11514.342;13423.604;15393.027;10323.973;12320.174;
14000;15667.902;11584.676;13503.112;15447.106;10398.894;12375.572;
15000;15849.895;11765.01;13582.62;15501.185;10473.815;12430.97;
16000;15911.888;11835.344;13662.128;15555.264;10548.736;12486.368;
17000;15973.881;11905.678;13741.636;15609.343;10623.657;12541.766;
18000;16035.874;11976.012;13821.144;15663.422;10698.578;12597.164;
19000;16097.867;12046.346;13900.652;15717.501;10773.499;12652.562;
20000;16159.86;12116.68;13980.16;15771.58;10848.42;12707.96;
21000;16221.853;12187.014;14059.668;15825.659;10923.341;12763.358;
22000;16283.846;12257.348;14139.176;15879.738;10998.262;12818.756;
23000;16345.839;12327.682;14218.684;15933.817;11073.183;12874.154;
24000;16407.832;12398.016;14298.192;15987.896;11148.104;12929.552;
25000;16469.825;12468.35;14377.7;16041.975;11223.025;12984.95;
26000;16531.818;12538.684;14457.208;16096.054;11297.946;13040.348;
27000;16593.811;12609.018;14536.716;16150.133;11372.867;13095.746;
28000;16655.804;12679.352;14616.224;16204.212;11447.788;13151.144;
29000;16717.797;12749.686;14695.732;16258.291;11522.709;13206.542;
30000;16899.79;12930.02;14775.24;16312.37;11597.63;13261.94;
31000;16961.783;13000.354;14854.748;16366.449;11672.551;13317.338;
32000;17023.776;13070.688;14934.256;16420.528;11747.472;13372.736;
33000;17085.769;13141.022;15013.764;16474.607;11822.393;13428.134;
34000;17147.762;13211.356;15093.272;16528.686;11897.314;13483.532;
35000;17209.755;13281.69;15172.78;16582.765;11972.235;13538.93;
36000;17271.748;13352.024;15252.288;16636.844;12047.156;13594.328;
37000;17333.741;13422.358;15331.796;16690.923;12122.077;13649.726;
38000;17395.734;13492.692;15411.304;16745.002;12196.998;13705.124;
39000;17457.727;13563.026;15490.812;16799.081;12271.919;13760.522;
40000;17519.72;13633.36;15570.32;16853.16;12346.84;13815.92;
41000;17581.713;13703.694;15649.828;16907.239;12421.761;13871.318;
42000;17643.706;13774.028;15729.336;16961.318;12496.682;13926.716;
43000;17705.699;13844.362;15808.844;17015.397;12571.603;13982.114;
44000;17767.692;13914.696;15888.352;17069.476;12646.524;14037.512;
45000;17949.685;14095.03;15967.86;17123.555;12721.445;14092.91;
46000;18011.678;14165.364;16047.368;17177.634;12796.366;14148.308;
47000;18607.671;14615.698;16126.876;17231.713;12871.287;14203.706;
48000;18669.664;14686.032;16206.384;17285.792;12946.208;14259.104;
49000;18731.657;14756.366;16285.892;17339.871;13021.129;14314.502;
50000;18793.65;14826.7;16365.4;17393.95;13096.05;14369.9;
51000;18855.643;14897.034;16444.908;17448.029;13170.971;14425.298;
52000;18917.636;14967.368;16524.416;17502.108;13245.892;14480.696;
53000;18979.629;15037.702;16603.924;17556.187;13320.813;14536.094;
54000;19041.622;15108.036;16683.432;17610.266;13395.734;14591.492;
55000;19103.615;15178.37;16762.94;17664.345;13470.655;14646.89;
56000;19165.608;15248.704;16842.448;17718.424;13545.576;14702.288;
57000;19227.601;15319.038;16921.956;17772.503;13620.497;14757.686;
58000;19289.594;15389.372;17001.464;17826.582;13695.418;14813.084;
59000;19351.587;15459.706;17080.972;17880.661;13770.339;14868.482;
60000;19533.58;15640.04;17160.48;17934.74;13845.26;14923.88;
61000;19595.573;15710.374;17239.988;17988.819;13920.181;14979.278;
62000;19657.566;15780.708;17319.496;18042.898;13995.102;15034.676;
63000;19719.559;15851.042;17399.004;18096.977;14070.023;15090.074;
64000;19781.552;15921.376;17478.512;18151.056;14144.944;15145.472;
65000;19843.545;15991.71;17558.02;18205.135;14219.865;15200.87;
66000;19905.538;16062.044;17637.528;18259.214;14294.786;15256.268;
67000;19967.531;16132.378;17717.036;18313.293;14369.707;15311.666;
68000;20029.524;16202.712;17796.544;18367.372;14444.628;15367.064;
69000;20091.517;16273.046;17876.052;18421.451;14519.549;15422.462;
70000;20153.51;16343.38;17955.56;18475.53;14594.47;15477.86;
71000;20215.503;16413.714;18035.068;18529.609;14669.391;15533.258;
72000;20277.496;16484.048;18114.576;18583.688;14744.312;15588.656;
73000;20339.489;16554.382;18194.084;18637.767;14819.233;15644.054;
74000;20401.482;16624.716;18273.592;18691.846;14894.154;15699.452;
75000;20583.475;16805.05;18353.1;18745.925;14969.075;15754.85;
76000;20645.468;16875.384;18432.608;18800.004;15043.996;15810.248;
77000;20707.461;16945.718;18512.116;18854.083;15118.917;15865.646;
78000;20769.454;17016.052;18591.624;18908.162;15193.838;15921.044;
79000;20831.447;17086.386;18671.132;18962.241;15268.759;15976.442;
80000;20893.44;17156.72;18750.64;19016.32;15343.68;16031.84;
81000;20955.433;17227.054;18830.148;19070.399;15418.601;16087.238;
82000;21017.426;17297.388;18909.656;19124.478;15493.522;16142.636;
83000;21079.419;17367.722;18989.164;19178.557;15568.443;16198.034;
84000;21141.412;17438.056;19068.672;19232.636;15643.364;16253.432;
85000;21203.405;17508.39;19148.18;19286.715;15718.285;16308.83;
86000;21265.398;17578.724;19227.688;19340.794;15793.206;16364.228;
87000;21327.391;17649.058;19307.196;19394.873;15868.127;16419.626;
88000;21389.384;17719.392;19386.704;19448.952;15943.048;16475.024;
89000;21451.377;17789.726;19466.212;19503.031;16017.969;16530.422;
90000;22383.37;18520.06;19545.72;19557.11;16092.89;16585.82;
91000;22445.363;18590.394;19625.228;19611.189;16167.811;16641.218;
92000;22507.356;18660.728;19704.736;19665.268;16242.732;16696.616;
93000;22569.349;18731.062;19784.244;19719.347;16317.653;16752.014;
94000;23165.342;19181.396;19863.752;19773.426;16392.574;16807.412;
95000;23227.335;19251.73;19943.26;19827.505;16467.495;16862.81;
96000;23289.328;19322.064;20022.768;19881.584;16542.416;16918.208;
97000;23351.321;19392.398;20102.276;19935.663;16617.337;16973.606;
98000;23413.314;19462.732;20181.784;19989.742;16692.258;17029.004;
99000;23475.307;19533.066;20261.292;20043.821;16767.179;17084.402;
100000;23537.3;19603.4;20340.8;20097.9;16842.1;17139.8;
101000;23599.293;19673.734;20420.308;20151.979;16917.021;17195.198;
102000;23661.286;19744.068;20499.816;20206.058;16991.942;17250.596;
103000;23723.279;19814.402;20579.324;20260.137;17066.863;17305.994;
104000;23785.272;19884.736;20658.832;20314.216;17141.784;17361.392;
105000;23967.265;20065.07;20738.34;20368.295;17216.705;17416.79;
106000;24029.258;20135.404;20817.848;20422.374;17291.626;17472.188;
107000;24091.251;20205.738;20897.356;20476.453;17366.547;17527.586;
108000;24153.244;20276.072;20976.864;20530.532;17441.468;17582.984;
109000;24215.237;20346.406;21056.372;20584.611;17516.389;17638.382;
110000;24277.23;20416.74;21135.88;20638.69;17591.31;17693.78;
111000;24339.223;20487.074;21215.388;20692.769;17666.231;17749.178;
