Kilometres;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Punto Evo 1.2 gaz;
130000;21700.2;22462.4;24132.2;17389.0;
131000;21768.74;22539.88;24187.14;17425.8;
132000;21837.28;22617.36;24242.08;17467.6;
133000;21905.82;22694.84;24297.02;17504.4;
134000;21974.36;22772.32;24351.96;17541.2;
135000;22152.9;22849.8;24406.9;17583.0;
136000;22221.44;22927.28;24461.84;17619.8;
137000;22289.98;23004.76;24516.78;17656.6;
138000;22358.52;23082.24;24571.72;17698.4;
139000;22427.06;23159.72;24626.66;17735.2;
140000;22495.6;23237.2;24681.6;17772.0;
141000;22944.14;23314.68;25236.54;17813.8;
142000;23012.68;23392.16;25291.48;17850.6;
143000;23081.22;23469.64;25346.42;17887.4;
144000;23149.76;23547.12;25401.36;17929.2;
145000;23218.3;23624.6;25456.3;17966.0;
146000;23286.84;23702.08;25511.24;18002.8;
147000;23355.38;23779.56;25566.18;18044.6;
148000;23423.92;23857.04;25621.12;18081.4;
149000;23492.46;23934.52;25676.06;18118.2;
150000;23671.0;24012.0;25931.0;18160.0;
151000;23739.54;24089.48;25985.94;18196.8;
152000;23808.08;24166.96;26040.88;18233.6;
153000;23876.62;24244.44;26095.82;18275.4;
154000;23945.16;24321.92;26150.76;18312.2;
155000;24013.7;24399.4;26205.7;18349.0;
156000;24082.24;24476.88;26260.64;18390.8;
157000;24150.78;24554.36;26315.58;18427.6;
158000;24219.32;24631.84;26370.52;18464.4;
159000;24287.86;24709.32;26425.46;18506.2;
160000;24356.4;24786.8;26480.4;18543.0;
161000;24424.94;24864.28;26535.34;18579.8;
162000;24493.48;24941.76;26590.28;18621.6;
163000;24562.02;25019.24;26645.22;18658.4;
164000;24630.56;25096.72;26700.16;18695.2;
165000;24809.1;25174.2;26755.1;18737.0;
166000;24877.64;25251.68;26810.04;18773.8;
167000;24946.18;25329.16;26864.98;18810.6;
168000;25014.72;25406.64;26919.92;18852.4;
169000;25083.26;25484.12;26974.86;18889.2;
170000;25151.8;25561.6;27029.8;18926.0;
171000;25220.34;25639.08;27084.74;18967.8;
172000;25288.88;25716.56;27139.68;19004.6;
173000;25357.42;25794.04;27194.62;19041.4;
174000;25425.96;25871.52;27249.56;19083.2;
175000;25494.5;25949.0;27304.5;19120.0;
176000;25563.04;26026.48;27359.44;19156.8;
177000;25631.58;26103.96;27414.38;19198.6;
178000;25700.12;26181.44;27469.32;19235.4;
179000;25768.66;26258.92;27524.26;19272.2;
180000;26497.2;26336.4;28279.2;19314.0;
181000;26565.74;26413.88;28334.14;19350.8;
182000;26634.28;26491.36;28389.08;19387.6;
183000;26702.82;26568.84;28444.02;19429.4;
184000;26771.36;26646.32;28498.96;19466.2;
185000;26839.9;26723.8;28553.9;19503.0;
186000;26908.44;26801.28;28608.84;19544.8;
187000;26976.98;26878.76;28663.78;19581.6;
188000;27425.52;26956.24;29218.72;19618.4;
189000;27494.06;27033.72;29273.66;19660.2;
190000;27562.6;27111.2;29328.6;19697.0;
191000;27631.14;27188.68;29383.54;19733.8;
192000;27699.68;27266.16;29438.48;19775.6;
193000;27768.22;27343.64;29493.42;19812.4;
194000;27836.76;27421.12;29548.36;19849.2;
195000;28015.3;27498.6;29603.3;19891.0;
196000;28083.84;27576.08;29658.24;19927.8;
197000;28152.38;27653.56;29713.18;19964.6;
198000;28220.92;27731.04;29768.12;20006.4;
199000;28289.46;27808.52;29823.06;20043.2;
200000;28358.0;27886.0;29878.0;20080.0;
201000;28426.54;27963.48;29932.94;20121.8;
202000;28495.08;28040.96;29987.88;20158.6;
203000;28563.62;28118.44;30042.82;20195.4;
204000;28632.16;28195.92;30097.76;20237.2;
205000;28700.7;28273.4;30152.7;20274.0;
206000;28769.24;28350.88;30207.64;20310.8;
207000;28837.78;28428.36;30262.58;20352.6;
208000;28906.32;28505.84;30317.52;20389.4;
209000;28974.86;28583.32;30372.46;20426.2;
210000;29153.4;28660.8;30627.4;20468.0;
211000;29221.94;28738.28;30682.34;20504.8;
212000;29290.48;28815.76;30737.28;20541.6;
213000;29359.02;28893.24;30792.22;20583.4;
214000;29427.56;28970.72;30847.16;20620.2;
215000;29496.1;29048.2;30902.1;20657.0;
216000;29564.64;29125.68;30957.04;20698.8;
217000;29633.18;29203.16;31011.98;20735.6;
218000;29701.72;29280.64;31066.92;20772.4;
219000;29770.26;29358.12;31121.86;20814.2;
220000;29838.8;29435.6;31176.8;20851.0;
221000;29907.34;29513.08;31231.74;20887.8;
222000;29975.88;29590.56;31286.68;20929.6;
223000;30044.42;29668.04;31341.62;20966.4;
224000;30112.96;29745.52;31396.56;21003.2;
225000;30291.5;29823.0;31451.5;21045.0;
226000;30360.04;29900.48;31506.44;21081.8;
227000;30428.58;29977.96;31561.38;21118.6;
228000;30497.12;30055.44;31616.32;21160.4;
229000;30565.66;30132.92;31671.26;21197.2;
230000;30634.2;30210.4;31726.2;21234.0;
231000;30702.74;30287.88;31781.14;21275.8;
232000;30771.28;30365.36;31836.08;21312.6;
233000;30839.82;30442.84;31891.02;21349.4;
234000;30908.36;30520.32;31945.96;21391.2;
235000;31356.9;30597.8;32500.9;21428.0;
236000;31425.44;30675.28;32555.84;21464.8;
237000;31493.98;30752.76;32610.78;21506.6;
238000;31562.52;30830.24;32665.72;21543.4;
239000;31631.06;30907.72;32720.66;21580.2;
240000;31809.6;30985.2;32975.6;21622.0;
241000;31878.14;31062.68;33030.54;21658.8;
242000;31946.68;31140.16;33085.48;21695.6;
243000;32015.22;31217.64;33140.42;21737.4;
244000;32083.76;31295.12;33195.36;21774.2;
245000;32152.3;31372.6;33250.3;21811.0;
246000;32220.84;31450.08;33305.24;21852.8;
247000;32289.38;31527.56;33360.18;21889.6;
248000;32357.92;31605.04;33415.12;21926.4;
249000;32426.46;31682.52;33470.06;21968.2;
250000;32495.0;31760.0;33525.0;22005.0;
251000;32563.54;31837.48;33579.94;22041.8;
252000;32632.08;31914.96;33634.88;22083.6;
253000;32700.62;31992.44;33689.82;22120.4;
254000;32769.16;32069.92;33744.76;22157.2;
255000;32947.7;32147.4;33799.7;22199.0;
256000;33016.24;32224.88;33854.64;22235.8;
257000;33084.78;32302.36;33909.58;22272.6;
258000;33153.32;32379.84;33964.52;22314.4;
259000;33221.86;32457.32;34019.46;22351.2;
260000;33290.4;32534.8;34074.4;22388.0;
261000;33358.94;32612.28;34129.34;22429.8;
262000;33427.48;32689.76;34184.28;22466.6;
263000;33496.02;32767.24;34239.22;22503.4;
264000;33564.56;32844.72;34294.16;22545.2;
265000;33633.1;32922.2;34349.1;22582.0;
266000;33701.64;32999.68;34404.04;22618.8;
267000;33770.18;33077.16;34458.98;22660.6;
268000;33838.72;33154.64;34513.92;22697.4;
269000;33907.26;33232.12;34568.86;22734.2;
270000;34635.8;33309.6;35323.8;22776.0;
271000;34704.34;33387.08;35378.74;22812.8;
272000;34772.88;33464.56;35433.68;22849.6;
273000;34841.42;33542.04;35488.62;22891.4;
274000;34909.96;33619.52;35543.56;22928.2;
275000;34978.5;33697.0;35598.5;22965.0;
276000;35047.04;33774.48;35653.44;23006.8;
277000;35115.58;33851.96;35708.38;23043.6;
278000;35184.12;33929.44;35763.32;23080.4;
279000;35252.66;34006.92;35818.26;23122.2;
280000;35321.2;34084.4;35873.2;23159.0;
281000;35389.74;34161.88;35928.14;23195.8;
282000;35838.28;34239.36;36483.08;23237.6;
283000;35906.82;34316.84;36538.02;23274.4;
284000;35975.36;34394.32;36592.96;23311.2;
285000;36153.9;34471.8;36647.9;23353.0;
286000;36222.44;34549.28;36702.84;23389.8;
287000;36290.98;34626.76;36757.78;23426.6;
288000;36359.52;34704.24;36812.72;23468.4;
289000;36428.06;34781.72;36867.66;23505.2;
290000;36496.6;34859.2;36922.6;23542.0;
291000;36565.14;34936.68;36977.54;23583.8;
292000;36633.68;35014.16;37032.48;23620.6;
293000;36702.22;35091.64;37087.42;23657.4;
294000;36770.76;35169.12;37142.36;23699.2;
295000;36839.3;35246.6;37197.3;23736.0;
296000;36907.84;35324.08;37252.24;23772.8;
297000;36976.38;35401.56;37307.18;23814.6;
298000;37044.92;35479.04;37362.12;23851.4;
299000;37113.46;35556.52;37417.06;23888.2;
300000;37292.0;35634.0;37672.0;23930.0;
