Kilometres;Toyota Aygo 1.1;Dacia Sandero 1.2;Dacia Logan 1.5 dci;Fiat Panda 1.3 d;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Renault Clio III essence 75 ch;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Skoda Fabia 1.4 TDI;Toyota Yaris;Dacia Logan 1.2
188000;26442.792;34783.996;29621.128;26367.544;29596.412;30028.864;34670.668;28872.216;25435.148;27337.504;32284.204;34849.808;30342.024;
189000;26513.126;34895.613;29696.134;26425.882;29653.361;30101.092;34760.879;28960.898;25510.069;27417.012;32349.487;34910.924;30436.822;
190000;26583.46;35007.23;29771.14;26484.22;29710.31;30173.32;34851.09;29049.58;25584.99;27496.52;32414.77;34972.04;30531.62;
191000;26653.794;35118.847;29846.146;26542.558;29767.259;30245.548;34941.301;29138.262;25659.911;27576.028;32480.053;35033.156;30626.418;
192000;26724.128;35230.464;29921.152;26600.896;29824.208;30317.776;35031.512;29226.944;25734.832;27655.536;32545.336;35094.272;30721.216;
193000;26794.462;35342.081;29996.158;26659.234;29881.157;30390.004;35121.723;29315.626;25809.753;27735.044;32610.619;35155.388;30816.014;
194000;26864.796;35453.698;30071.164;26717.572;29938.106;30462.232;35211.934;29404.308;25884.674;27814.552;32675.902;35216.504;30910.812;
195000;26935.13;35565.315;30146.17;26925.91;29995.055;30534.46;35422.145;29492.99;25959.595;27894.06;32861.185;35597.62;31005.61;
196000;27005.464;35676.932;30221.176;26984.248;30052.004;30606.688;35512.356;29581.672;26034.516;27973.568;32926.468;35658.736;31100.408;
197000;27075.798;35788.549;30296.182;27042.586;30108.953;30678.916;35602.567;29670.354;26109.437;28053.076;32991.751;35719.852;31195.206;
198000;27146.132;35900.166;30371.188;27100.924;30165.902;30751.144;35692.778;29759.036;26184.358;28132.584;33057.034;35780.968;31290.004;
199000;27216.466;36011.783;30446.194;27159.262;30222.851;30823.372;35782.989;29847.718;26259.279;28212.092;33122.317;35842.084;31384.802;
200000;27286.8;36223.4;30601.2;27217.6;30279.8;31245.6;36898.2;29936.4;26334.2;28291.6;34212.6;35903.2;31559.6;
201000;27357.134;36335.017;30676.206;27275.938;30336.749;31317.828;36988.411;30025.082;26409.121;28371.108;34277.883;35964.316;31654.398;
202000;27427.468;36446.634;30751.212;27334.276;30393.698;31390.056;37078.622;30113.764;26484.042;28450.616;34343.166;36025.432;31749.196;
203000;27497.802;36558.251;30826.218;27392.614;30450.647;31462.284;37168.833;30202.446;26558.963;28530.124;34408.449;36086.548;31843.994;
204000;27568.136;36669.868;30901.224;27450.952;30507.596;31534.512;37259.044;30291.128;26633.884;28609.632;34473.732;36147.664;31938.792;
205000;27638.47;36781.485;30976.23;27509.29;30564.545;31606.74;37349.255;30379.81;26708.805;28689.14;34539.015;36208.78;32033.59;
206000;27708.804;36893.102;31051.236;27567.628;30621.494;31678.968;37439.466;30468.492;26783.726;28768.648;34604.298;36269.896;32128.388;
207000;27779.138;37004.719;31126.242;27625.966;30678.443;31751.196;37529.677;30557.174;26858.647;28848.156;34669.581;36331.012;32223.186;
208000;27849.472;37116.336;31201.248;27684.304;30735.392;31823.424;37619.888;30645.856;26933.568;28927.664;34734.864;36392.128;32317.984;
209000;27919.806;37227.953;31276.254;27742.642;30792.341;31895.652;37710.099;30734.538;27008.489;29007.172;34800.147;36453.244;32412.782;
210000;27990.14;37339.57;31351.26;27950.98;31049.29;31967.88;37920.31;31023.22;27083.41;29086.68;34985.43;37254.36;32507.58;
211000;28060.474;37451.187;31426.266;28009.318;31106.239;32040.108;38010.521;31111.902;27158.331;29166.188;35050.713;37315.476;32602.378;
212000;28130.808;37562.804;31501.272;28067.656;31163.188;32112.336;38100.732;31200.584;27233.252;29245.696;35115.996;37376.592;32697.176;
213000;28201.142;37674.421;31576.278;28125.994;31220.137;32184.564;38190.943;31289.266;27308.173;29325.204;35181.279;37437.708;32791.974;
214000;28271.476;37786.038;31651.284;28184.332;31277.086;32256.792;38281.154;31377.948;27383.094;29404.712;35246.562;37498.824;32886.772;
215000;28341.81;37897.655;31726.29;28242.67;31334.035;32329.02;38371.365;31466.63;27458.015;29484.22;35311.845;37559.94;32981.57;
216000;28412.144;38009.272;31801.296;28301.008;31390.984;32401.248;38461.576;31555.312;27532.936;29563.728;35377.128;37621.056;33076.368;
217000;28482.478;38120.889;31876.302;28359.346;31447.933;32473.476;38551.787;31643.994;27607.857;29643.236;35442.411;37682.172;33171.166;
218000;28552.812;38232.506;31951.308;28417.684;31504.882;32545.704;38641.998;31732.676;27682.778;29722.744;35507.694;37743.288;33265.964;
219000;28623.146;38344.123;32026.314;28476.022;31561.831;32617.932;38732.209;31821.358;27757.699;29802.252;35572.977;37804.404;33360.762;
220000;28693.48;38555.74;32181.32;28534.36;31618.78;33040.16;38822.42;31910.04;27832.62;29881.76;35638.26;37865.52;33535.56;
221000;28763.814;38667.357;32256.326;28592.698;31675.729;33112.388;38912.631;31998.722;27907.541;29961.268;35703.543;37926.636;33630.358;
222000;28834.148;38778.974;32331.332;28651.036;31732.678;33184.616;39002.842;32087.404;27982.462;30040.776;35768.826;37987.752;33725.156;
223000;28904.482;38890.591;32406.338;28709.374;31789.627;33256.844;39093.053;32176.086;28057.383;30120.284;35834.109;38048.868;33819.954;
224000;28974.816;39002.208;32481.344;28767.712;31846.576;33329.072;39183.264;32264.768;28132.304;30199.792;35899.392;38109.984;33914.752;
225000;29045.15;39113.825;32556.35;28976.05;31903.525;33401.3;39393.475;32353.45;28207.225;30279.3;36084.675;38491.1;34009.55;
226000;29115.484;39225.442;32631.356;29034.388;31960.474;33473.528;39483.686;32442.132;28282.146;30358.808;36149.958;38552.216;34104.348;
227000;29185.818;39337.059;32706.362;29092.726;32017.423;33545.756;39573.897;32530.814;28357.067;30438.316;36215.241;38613.332;34199.146;
228000;29256.152;39448.676;32781.368;29151.064;32074.372;33617.984;39664.108;32619.496;28431.988;30517.824;36280.524;38674.448;34293.944;
229000;29326.486;39560.293;32856.374;29209.402;32131.321;33690.212;39754.319;32708.178;28506.909;30597.332;36345.807;38735.564;34388.742;
230000;29396.82;39671.91;32931.38;29267.74;32188.27;33762.44;39844.53;32796.86;28581.83;30676.84;36411.09;38796.68;34483.54;
231000;29467.154;39783.527;33006.386;29326.078;32245.219;33834.668;39934.741;32885.542;28656.751;30756.348;36476.373;38857.796;34578.338;
232000;29537.488;39895.144;33081.392;29384.416;32302.168;33906.896;40024.952;32974.224;28731.672;30835.856;36541.656;38918.912;34673.136;
233000;29607.822;40006.761;33156.398;29442.754;32359.117;33979.124;40115.163;33062.906;28806.593;30915.364;36606.939;38980.028;34767.934;
234000;29678.156;40118.378;33231.404;29501.092;32416.066;34051.352;40205.374;33151.588;28881.514;30994.872;36672.222;39041.144;34862.732;
235000;30128.49;40579.995;33656.41;30059.43;32973.015;34573.58;40829.585;33740.27;29456.435;31074.38;37271.505;39102.26;35307.53;
236000;30198.824;40691.612;33731.416;30117.768;33029.964;34645.808;40919.796;33828.952;29531.356;31153.888;37336.788;39163.376;35402.328;
237000;30269.158;40803.229;33806.422;30176.106;33086.913;34718.036;41010.007;33917.634;29606.277;31233.396;37402.071;39224.492;35497.126;
238000;30339.492;40914.846;33881.428;30234.444;33143.862;34790.264;41100.218;34006.316;29681.198;31312.904;37467.354;39285.608;35591.924;
239000;30409.826;41026.463;33956.434;30292.782;33200.811;34862.492;41190.429;34094.998;29756.119;31392.412;37532.637;39346.724;35686.722;
240000;30480.16;41738.08;34561.44;30501.12;33457.76;35284.72;41400.64;34383.68;29831.04;31471.92;37717.92;40147.84;36311.52;
241000;30550.494;41849.697;34636.446;30559.458;33514.709;35356.948;41490.851;34472.362;29905.961;31551.428;37783.203;40208.956;36406.318;
242000;30620.828;41961.314;34711.452;30617.796;33571.658;35429.176;41581.062;34561.044;29980.882;31630.936;37848.486;40270.072;36501.116;
243000;30691.162;42072.931;34786.458;30676.134;33628.607;35501.404;41671.273;34649.726;30055.803;31710.444;37913.769;40331.188;36595.914;
244000;30761.496;42184.548;34861.464;30734.472;33685.556;35573.632;41761.484;34738.408;30130.724;31789.952;37979.052;40392.304;36690.712;
245000;30831.83;42296.165;34936.47;30792.81;33742.505;35645.86;41851.695;34827.09;30205.645;31869.46;38044.335;40453.42;36785.51;
246000;30902.164;42407.782;35011.476;30851.148;33799.454;35718.088;41941.906;34915.772;30280.566;31948.968;38109.618;40514.536;36880.308;
247000;30972.498;42519.399;35086.482;30909.486;33856.403;35790.316;42032.117;35004.454;30355.487;32028.476;38174.901;40575.652;36975.106;
248000;31042.832;42631.016;35161.488;30967.824;33913.352;35862.544;42122.328;35093.136;30430.408;32107.984;38240.184;40636.768;37069.904;
249000;31113.166;42742.633;35236.494;31026.162;33970.301;35934.772;42212.539;35181.818;30505.329;32187.492;38305.467;40697.884;37164.702;
250000;31183.5;42854.25;35311.5;31084.5;34027.25;36007.0;42302.75;35270.5;30580.25;32267.0;38370.75;40759.0;37259.5;
251000;31253.834;42965.867;35386.506;31142.838;34084.199;36079.228;42392.961;35359.182;30655.171;32346.508;38436.033;40820.116;37354.298;
252000;31324.168;43077.484;35461.512;31201.176;34141.148;36151.456;42483.172;35447.864;30730.092;32426.016;38501.316;40881.232;37449.096;
253000;31394.502;43189.101;35536.518;31259.514;34198.097;36223.684;42573.383;35536.546;30805.013;32505.524;38566.599;40942.348;37543.894;
254000;31464.836;43300.718;35611.524;31317.852;34255.046;36295.912;42663.594;35625.228;30879.934;32585.032;38631.882;41003.464;37638.692;
255000;31535.17;43412.335;35686.53;31526.19;34311.995;36368.14;42873.805;35713.91;30954.855;32664.54;38817.165;41384.58;37733.49;
256000;31605.504;43523.952;35761.536;31584.528;34368.944;36440.368;42964.016;35802.592;31029.776;32744.048;38882.448;41445.696;37828.288;
257000;31675.838;43635.569;35836.542;31642.866;34425.893;36512.596;43054.227;35891.274;31104.697;32823.556;38947.731;41506.812;37923.086;
258000;31746.172;43747.186;35911.548;31701.204;34482.842;36584.824;43144.438;35979.956;31179.618;32903.064;39013.014;41567.928;38017.884;
259000;31816.506;43858.803;35986.554;31759.542;34539.791;36657.052;43234.649;36068.638;31254.539;32982.572;39078.297;41629.044;38112.682;
260000;31886.84;44070.42;36141.56;31817.88;34596.74;37079.28;43324.86;36157.32;31329.46;33062.08;39143.58;41690.16;38287.48;
261000;31957.174;44182.037;36216.566;31876.218;34653.689;37151.508;43415.071;36246.002;31404.381;33141.588;39208.863;41751.276;38382.278;
262000;32027.508;44293.654;36291.572;31934.556;34710.638;37223.736;43505.282;36334.684;31479.302;33221.096;39274.146;41812.392;38477.076;
263000;32097.842;44405.271;36366.578;31992.894;34767.587;37295.964;43595.493;36423.366;31554.223;33300.604;39339.429;41873.508;38571.874;
264000;32168.176;44516.888;36441.584;32051.232;34824.536;37368.192;43685.704;36512.048;31629.144;33380.112;39404.712;41934.624;38666.672;
265000;32238.51;44628.505;36516.59;32109.57;34881.485;37440.42;43775.915;36600.73;31704.065;33459.62;39469.995;41995.74;38761.47;
266000;32308.844;44740.122;36591.596;32167.908;34938.434;37512.648;43866.126;36689.412;31778.986;33539.128;39535.278;42056.856;38856.268;
267000;32379.178;44851.739;36666.602;32226.246;34995.383;37584.876;43956.337;36778.094;31853.907;33618.636;39600.561;42117.972;38951.066;
268000;32449.512;44963.356;36741.608;32284.584;35052.332;37657.104;44046.548;36866.776;31928.828;33698.144;39665.844;42179.088;39045.864;
269000;32519.846;45074.973;36816.614;32342.922;35109.281;37729.332;44136.759;36955.458;32003.749;33777.652;39731.127;42240.204;39140.662;
270000;33140.18;45186.59;36891.62;32551.26;35866.23;37801.56;45096.97;37744.14;32078.67;33857.16;40666.41;43041.32;39235.46;
271000;33210.514;45298.207;36966.626;32609.598;35923.179;37873.788;45187.181;37832.822;32153.591;33936.668;40731.693;43102.436;39330.258;
272000;33280.848;45409.824;37041.632;32667.936;35980.128;37946.016;45277.392;37921.504;32228.512;34016.176;40796.976;43163.552;39425.056;
273000;33351.182;45521.441;37116.638;32726.274;36037.077;38018.244;45367.603;38010.186;32303.433;34095.684;40862.259;43224.668;39519.854;
274000;33421.516;45633.058;37191.644;32784.612;36094.026;38090.472;45457.814;38098.868;32378.354;34175.192;40927.542;43285.784;39614.652;
275000;33491.85;45744.675;37266.65;32842.95;36150.975;38162.7;45548.025;38187.55;32453.275;34254.7;40992.825;43346.9;39709.45;
276000;33562.184;45856.292;37341.656;32901.288;36207.924;38234.928;45638.236;38276.232;32528.196;34334.208;41058.108;43408.016;39804.248;
277000;33632.518;45967.909;37416.662;32959.626;36264.873;38307.156;45728.447;38364.914;32603.117;34413.716;41123.391;43469.132;39899.046;
278000;33702.852;46079.526;37491.668;33017.964;36321.822;38379.384;45818.658;38453.596;32678.038;34493.224;41188.674;43530.248;39993.844;
279000;33773.186;46191.143;37566.674;33076.302;36378.771;38451.612;45908.869;38542.278;32752.959;34572.732;41253.957;43591.364;40088.642;
280000;33843.52;46402.76;37721.68;33134.64;36435.72;38873.84;45999.08;38630.96;32827.88;34652.24;41319.24;43652.48;40263.44;
281000;33913.854;46514.377;37796.686;33192.978;36492.669;38946.068;46089.291;38719.642;32902.801;34731.748;41384.523;43713.596;40358.238;
282000;34364.188;46975.994;38221.692;33751.316;37049.618;39468.296;46713.502;39308.324;33477.722;34811.256;41983.806;43774.712;40803.036;
283000;34434.522;47087.611;38296.698;33809.654;37106.567;39540.524;46803.713;39397.006;33552.643;34890.764;42049.089;43835.828;40897.834;
284000;34504.856;47199.228;38371.704;33867.992;37163.516;39612.752;46893.924;39485.688;33627.564;34970.272;42114.372;43896.944;40992.632;
285000;34575.19;47310.845;38446.71;34076.33;37220.465;39684.98;47104.135;39574.37;33702.485;35049.78;42299.655;44278.06;41087.43;
286000;34645.524;47422.462;38521.716;34134.668;37277.414;39757.208;47194.346;39663.052;33777.406;35129.288;42364.938;44339.176;41182.228;
287000;34715.858;47534.079;38596.722;34193.006;37334.363;39829.436;47284.557;39751.734;33852.327;35208.796;42430.221;44400.292;41277.026;
288000;34786.192;47645.696;38671.728;34251.344;37391.312;39901.664;47374.768;39840.416;33927.248;35288.304;42495.504;44461.408;41371.824;
289000;34856.526;47757.313;38746.734;34309.682;37448.261;39973.892;47464.979;39929.098;34002.169;35367.812;42560.787;44522.524;41466.622;
290000;34926.86;47868.93;38821.74;34368.02;37505.21;40046.12;47555.19;40017.78;34077.09;35447.32;42626.07;44583.64;41561.42;
291000;34997.194;47980.547;38896.746;34426.358;37562.159;40118.348;47645.401;40106.462;34152.011;35526.828;42691.353;44644.756;41656.218;
292000;35067.528;48092.164;38971.752;34484.696;37619.108;40190.576;47735.612;40195.144;34226.932;35606.336;42756.636;44705.872;41751.016;
293000;35137.862;48203.781;39046.758;34543.034;37676.057;40262.804;47825.823;40283.826;34301.853;35685.844;42821.919;44766.988;41845.814;
294000;35208.196;48315.398;39121.764;34601.372;37733.006;40335.032;47916.034;40372.508;34376.774;35765.352;42887.202;44828.104;41940.612;
295000;35278.53;48427.015;39196.77;34659.71;37789.955;40407.26;48006.245;40461.19;34451.695;35844.86;42952.485;44889.22;42035.41;
296000;35348.864;48538.632;39271.776;34718.048;37846.904;40479.488;48096.456;40549.872;34526.616;35924.368;43017.768;44950.336;42130.208;
297000;35419.198;48650.249;39346.782;34776.386;37903.853;40551.716;48186.667;40638.554;34601.537;36003.876;43083.051;45011.452;42225.006;
298000;35489.532;48761.866;39421.788;34834.724;37960.802;40623.944;48276.878;40727.236;34676.458;36083.384;43148.334;45072.568;42319.804;
299000;35559.866;48873.483;39496.794;34893.062;38017.751;40696.172;48367.089;40815.918;34751.379;36162.892;43213.617;45133.684;42414.602;
300000;35630.2;49085.1;39651.8;35101.4;38274.7;41118.4;48712.3;41104.6;34826.3;36242.4;43533.9;45934.8;42589.4;
