Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Renault Clio III essence 75 ch;
91000;22445.363;18590.394;19625.228;21211.189;17670.062;
92000;22507.356;18660.728;19704.736;21265.268;17758.744;
93000;22569.349;18731.062;19784.244;21319.347;17847.426;
94000;23165.342;19181.396;19863.752;21873.426;18436.108;
95000;23227.335;19251.73;19943.26;21927.505;18524.79;
96000;23289.328;19322.064;20022.768;21981.584;18613.472;
97000;23351.321;19392.398;20102.276;22035.663;18702.154;
98000;23413.314;19462.732;20181.784;22089.742;18790.836;
99000;23475.307;19533.066;20261.292;22143.821;18879.518;
100000;23672.3;19603.4;20340.8;22197.9;18968.2;
101000;23734.293;19673.734;20420.308;22251.979;19056.882;
102000;23796.286;19744.068;20499.816;22306.058;19145.564;
103000;23858.279;19814.402;20579.324;22360.137;19234.246;
104000;23920.272;19884.736;20658.832;22414.216;19322.928;
105000;24102.265;20065.07;20738.34;22468.295;19411.61;
106000;24164.258;20135.404;20817.848;22522.374;19500.292;
107000;24226.251;20205.738;20897.356;22576.453;19588.974;
108000;24288.244;20276.072;20976.864;22630.532;19677.656;
109000;24350.237;20346.406;21056.372;22684.611;19766.338;
110000;24412.23;20416.74;21135.88;22738.69;19855.02;
111000;24474.223;20487.074;21215.388;22792.769;19943.702;
112000;24536.216;20557.408;21294.896;22846.848;20032.384;
113000;24598.209;20627.742;21374.404;22900.927;20121.066;
114000;24660.202;20698.076;21453.912;22955.006;20209.748;
115000;24722.195;20768.41;21533.42;23009.085;20298.43;
116000;24784.188;20838.744;21612.928;23063.164;20387.112;
117000;24846.181;20909.078;21692.436;23117.243;20475.794;
118000;24908.174;20979.412;21771.944;23171.322;20564.476;
119000;24970.167;21049.746;21851.452;23225.401;20653.158;
120000;25152.16;21230.08;21930.96;23479.48;20941.84;
121000;25214.153;21300.414;22010.468;23533.559;21030.522;
122000;25276.146;21370.748;22089.976;23587.638;21119.204;
123000;25338.139;21441.082;22169.484;23641.717;21207.886;
124000;25400.132;21511.416;22248.992;23695.796;21296.568;
125000;25462.125;21581.75;22328.5;23749.875;21385.25;
126000;25524.118;21652.084;22408.008;23803.954;21473.932;
127000;25586.111;21722.418;22487.516;23858.033;21562.614;
128000;25648.104;21792.752;22567.024;23912.112;21651.296;
129000;25710.097;21863.086;22646.532;23966.191;21739.978;
130000;25772.09;21933.42;22726.04;24020.27;21828.66;
131000;25834.083;22003.754;22805.548;24074.349;21917.342;
132000;25896.076;22074.088;22885.056;24128.428;22006.024;
133000;25958.069;22144.422;22964.564;24182.507;22094.706;
134000;26020.062;22214.756;23044.072;24236.586;22183.388;
135000;26202.055;22395.09;23123.58;24290.665;22272.07;
136000;26264.048;22465.424;23203.088;24344.744;22360.752;
137000;26326.041;22535.758;23282.596;24398.823;22449.434;
138000;26388.034;22606.092;23362.104;24452.902;22538.116;
139000;26450.027;22676.426;23441.612;24506.981;22626.798;
140000;26512.02;22746.76;23521.12;24561.06;22715.48;
141000;27108.013;23197.094;23600.628;25115.139;23304.162;
142000;27170.006;23267.428;23680.136;25169.218;23392.844;
143000;27231.999;23337.762;23759.644;25223.297;23481.526;
144000;27293.992;23408.096;23839.152;25277.376;23570.208;
145000;27355.985;23478.43;23918.66;25331.455;23658.89;
146000;27417.978;23548.764;23998.168;25385.534;23747.572;
147000;27479.971;23619.098;24077.676;25439.613;23836.254;
148000;27541.964;23689.432;24157.184;25493.692;23924.936;
149000;27603.957;23759.766;24236.692;25547.771;24013.618;
150000;27785.95;23940.1;24316.2;25801.85;24302.3;
151000;27847.943;24010.434;24395.708;25855.929;24390.982;
152000;27909.936;24080.768;24475.216;25910.008;24479.664;
153000;27971.929;24151.102;24554.724;25964.087;24568.346;
154000;28033.922;24221.436;24634.232;26018.166;24657.028;
155000;28095.915;24291.77;24713.74;26072.245;24745.71;
156000;28157.908;24362.104;24793.248;26126.324;24834.392;
157000;28219.901;24432.438;24872.756;26180.403;24923.074;
158000;28281.894;24502.772;24952.264;26234.482;25011.756;
159000;28343.887;24573.106;25031.772;26288.561;25100.438;
160000;28405.88;24643.44;25111.28;26342.64;25189.12;
161000;28467.873;24713.774;25190.788;26396.719;25277.802;
162000;28529.866;24784.108;25270.296;26450.798;25366.484;
163000;28591.859;24854.442;25349.804;26504.877;25455.166;
164000;28653.852;24924.776;25429.312;26558.956;25543.848;
165000;28835.845;25105.11;25508.82;26613.035;25632.53;
166000;28897.838;25175.444;25588.328;26667.114;25721.212;
167000;28959.831;25245.778;25667.836;26721.193;25809.894;
168000;29021.824;25316.112;25747.344;26775.272;25898.576;
169000;29083.817;25386.446;25826.852;26829.351;25987.258;
170000;29145.81;25456.78;25906.36;26883.43;26075.94;
171000;29207.803;25527.114;25985.868;26937.509;26164.622;
172000;29269.796;25597.448;26065.376;26991.588;26253.304;
173000;29331.789;25667.782;26144.884;27045.667;26341.986;
174000;29393.782;25738.116;26224.392;27099.746;26430.668;
175000;29455.775;25808.45;26303.9;27153.825;26519.35;
176000;29517.768;25878.784;26383.408;27207.904;26608.032;
177000;29579.761;25949.118;26462.916;27261.983;26696.714;
178000;29641.754;26019.452;26542.424;27316.062;26785.396;
179000;29703.747;26089.786;26621.932;27370.141;26874.078;
180000;30635.74;26820.12;26701.44;28124.22;27662.76;
181000;30697.733;26890.454;26780.948;28178.299;27751.442;
182000;30759.726;26960.788;26860.456;28232.378;27840.124;
183000;30821.719;27031.122;26939.964;28286.457;27928.806;
184000;30883.712;27101.456;27019.472;28340.536;28017.488;
185000;30945.705;27171.79;27098.98;28394.615;28106.17;
186000;31007.698;27242.124;27178.488;28448.694;28194.852;
187000;31069.691;27312.458;27257.996;28502.773;28283.534;
188000;31665.684;27762.792;27337.504;29056.852;28872.216;
189000;31727.677;27833.126;27417.012;29110.931;28960.898;
190000;31789.67;27903.46;27496.52;29165.01;29049.58;
191000;31851.663;27973.794;27576.028;29219.089;29138.262;
192000;31913.656;28044.128;27655.536;29273.168;29226.944;
193000;31975.649;28114.462;27735.044;29327.247;29315.626;
194000;32037.642;28184.796;27814.552;29381.326;29404.308;
195000;32219.635;28365.13;27894.06;29435.405;29492.99;
196000;32281.628;28435.464;27973.568;29489.484;29581.672;
197000;32343.621;28505.798;28053.076;29543.563;29670.354;
198000;32405.614;28576.132;28132.584;29597.642;29759.036;
199000;32467.607;28646.466;28212.092;29651.721;29847.718;
200000;33554.6;28716.8;28291.6;29705.8;29936.4;
201000;33616.593;28787.134;28371.108;29759.879;30025.082;
202000;33678.586;28857.468;28450.616;29813.958;30113.764;
203000;33740.579;28927.802;28530.124;29868.037;30202.446;
204000;33802.572;28998.136;28609.632;29922.116;30291.128;
205000;33864.565;29068.47;28689.14;29976.195;30379.81;
206000;33926.558;29138.804;28768.648;30030.274;30468.492;
207000;33988.551;29209.138;28848.156;30084.353;30557.174;
208000;34050.544;29279.472;28927.664;30138.432;30645.856;
209000;34112.537;29349.806;29007.172;30192.511;30734.538;
210000;34294.53;29530.14;29086.68;30446.59;31023.22;
211000;34356.523;29600.474;29166.188;30500.669;31111.902;
212000;34418.516;29670.808;29245.696;30554.748;31200.584;
213000;34480.509;29741.142;29325.204;30608.827;31289.266;
214000;34542.502;29811.476;29404.712;30662.906;31377.948;
215000;34604.495;29881.81;29484.22;30716.985;31466.63;
216000;34666.488;29952.144;29563.728;30771.064;31555.312;
217000;34728.481;30022.478;29643.236;30825.143;31643.994;
218000;34790.474;30092.812;29722.744;30879.222;31732.676;
219000;34852.467;30163.146;29802.252;30933.301;31821.358;
220000;34914.46;30233.48;29881.76;30987.38;31910.04;
221000;34976.453;30303.814;29961.268;31041.459;31998.722;
222000;35038.446;30374.148;30040.776;31095.538;32087.404;
223000;35100.439;30444.482;30120.284;31149.617;32176.086;
224000;35162.432;30514.816;30199.792;31203.696;32264.768;
225000;35344.425;30695.15;30279.3;31257.775;32353.45;
226000;35406.418;30765.484;30358.808;31311.854;32442.132;
227000;35468.411;30835.818;30438.316;31365.933;32530.814;
228000;35530.404;30906.152;30517.824;31420.012;32619.496;
229000;35592.397;30976.486;30597.332;31474.091;32708.178;
230000;35654.39;31046.82;30676.84;31528.17;32796.86;
231000;35716.383;31117.154;30756.348;31582.249;32885.542;
232000;35778.376;31187.488;30835.856;31636.328;32974.224;
233000;35840.369;31257.822;30915.364;31690.407;33062.906;
234000;35902.362;31328.156;30994.872;31744.486;33151.588;
235000;36498.355;31778.49;31074.38;32298.565;33740.27;
236000;36560.348;31848.824;31153.888;32352.644;33828.952;
237000;36622.341;31919.158;31233.396;32406.723;33917.634;
238000;36684.334;31989.492;31312.904;32460.802;34006.316;
239000;36746.327;32059.826;31392.412;32514.881;34094.998;
240000;36928.32;32240.16;31471.92;32768.96;34383.68;
241000;36990.313;32310.494;31551.428;32823.039;34472.362;
242000;37052.306;32380.828;31630.936;32877.118;34561.044;
243000;37114.299;32451.162;31710.444;32931.197;34649.726;
244000;37176.292;32521.496;31789.952;32985.276;34738.408;
245000;37238.285;32591.83;31869.46;33039.355;34827.09;
246000;37300.278;32662.164;31948.968;33093.434;34915.772;
247000;37362.271;32732.498;32028.476;33147.513;35004.454;
248000;37424.264;32802.832;32107.984;33201.592;35093.136;
249000;37486.257;32873.166;32187.492;33255.671;35181.818;
250000;37548.25;32943.5;32267.0;33309.75;35270.5;
251000;37610.243;33013.834;32346.508;33363.829;35359.182;
252000;37672.236;33084.168;32426.016;33417.908;35447.864;
253000;37734.229;33154.502;32505.524;33471.987;35536.546;
254000;37796.222;33224.836;32585.032;33526.066;35625.228;
255000;37978.215;33405.17;32664.54;33580.145;35713.91;
256000;38040.208;33475.504;32744.048;33634.224;35802.592;
257000;38102.201;33545.838;32823.556;33688.303;35891.274;
258000;38164.194;33616.172;32903.064;33742.382;35979.956;
259000;38226.187;33686.506;32982.572;33796.461;36068.638;
260000;38288.18;33756.84;33062.08;33850.54;36157.32;
261000;38350.173;33827.174;33141.588;33904.619;36246.002;
262000;38412.166;33897.508;33221.096;33958.698;36334.684;
263000;38474.159;33967.842;33300.604;34012.777;36423.366;
264000;38536.152;34038.176;33380.112;34066.856;36512.048;
265000;38598.145;34108.51;33459.62;34120.935;36600.73;
266000;38660.138;34178.844;33539.128;34175.014;36689.412;
267000;38722.131;34249.178;33618.636;34229.093;36778.094;
268000;38784.124;34319.512;33698.144;34283.172;36866.776;
269000;38846.117;34389.846;33777.652;34337.251;36955.458;
270000;39778.11;35120.18;33857.16;35091.33;37744.14;
271000;39840.103;35190.514;33936.668;35145.409;37832.822;
272000;39902.096;35260.848;34016.176;35199.488;37921.504;
273000;39964.089;35331.182;34095.684;35253.567;38010.186;
274000;40026.082;35401.516;34175.192;35307.646;38098.868;
275000;40088.075;35471.85;34254.7;35361.725;38187.55;
276000;40150.068;35542.184;34334.208;35415.804;38276.232;
277000;40212.061;35612.518;34413.716;35469.883;38364.914;
278000;40274.054;35682.852;34493.224;35523.962;38453.596;
279000;40336.047;35753.186;34572.732;35578.041;38542.278;
280000;40398.04;35823.52;34652.24;35632.12;38630.96;
281000;40460.033;35893.854;34731.748;35686.199;38719.642;
282000;41056.026;36344.188;34811.256;36240.278;39308.324;
283000;41118.019;36414.522;34890.764;36294.357;39397.006;
284000;41180.012;36484.856;34970.272;36348.436;39485.688;
285000;41362.005;36665.19;35049.78;36402.515;39574.37;
286000;41423.998;36735.524;35129.288;36456.594;39663.052;
287000;41485.991;36805.858;35208.796;36510.673;39751.734;
288000;41547.984;36876.192;35288.304;36564.752;39840.416;
289000;41609.977;36946.526;35367.812;36618.831;39929.098;
290000;41671.97;37016.86;35447.32;36672.91;40017.78;
291000;41733.963;37087.194;35526.828;36726.989;40106.462;
292000;41795.956;37157.528;35606.336;36781.068;40195.144;
293000;41857.949;37227.862;35685.844;36835.147;40283.826;
294000;41919.942;37298.196;35765.352;36889.226;40372.508;
295000;41981.935;37368.53;35844.86;36943.305;40461.19;
296000;42043.928;37438.864;35924.368;36997.384;40549.872;
297000;42105.921;37509.198;36003.876;37051.463;40638.554;
298000;42167.914;37579.532;36083.384;37105.542;40727.236;
299000;42229.907;37649.866;36162.892;37159.621;40815.918;
300000;42546.9;37830.2;36242.4;37413.7;41104.6;
