Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
54000;18914.722;14760.276;14660.372;16213.352;16525.438;16018.092;16425.354;18083.67;750.06;430.92;685.26;
55000;18974.365;14824.17;14746.49;16279.34;16626.835;16071.39;16507.305;18140.775;763.95;438.9;697.95;
56000;19034.008;14888.064;14832.608;16345.328;16728.232;16124.688;16589.256;18197.88;777.84;446.88;710.64;
57000;19093.651;14951.958;14918.726;16411.316;16829.629;16177.986;16671.207;18254.985;791.73;454.86;723.33;
58000;19153.294;15015.852;15004.844;16477.304;16931.026;16231.284;16753.158;18312.09;805.62;462.84;736.02;
59000;19212.937;15079.746;15090.962;16543.292;17032.423;16284.582;16835.109;18369.195;819.51;470.82;748.71;
60000;19392.58;15253.64;15257.08;16959.28;17233.82;16567.88;16917.06;18426.3;833.4;478.8;761.4;
61000;19452.223;15317.534;15343.198;17025.268;17335.217;16621.178;16999.011;18483.405;847.29;486.78;774.09;
62000;19511.866;15381.428;15429.316;17091.256;17436.614;16674.476;17080.962;18540.51;861.18;494.76;786.78;
63000;19571.509;15445.322;15515.434;17157.244;17538.011;16727.774;17162.913;18597.615;875.07;502.74;799.47;
64000;19631.152;15509.216;15601.552;17223.232;17639.408;16781.072;17244.864;18654.72;888.96;510.72;812.16;
65000;19690.795;15573.11;15687.67;17289.22;17740.805;16834.37;17326.815;18711.825;902.85;518.7;824.85;
66000;19750.438;15637.004;15773.788;17355.208;17842.202;16887.668;17408.766;18768.93;916.74;526.68;837.54;
67000;19810.081;15700.898;15859.906;17421.196;17943.599;16940.966;17490.717;18826.035;930.63;534.66;850.23;
68000;19869.724;15764.792;15946.024;17487.184;18044.996;16994.264;17572.668;18883.14;944.52;542.64;862.92;
69000;19929.367;15828.686;16032.142;17553.172;18146.393;17047.562;17654.619;18940.245;958.41;550.62;875.61;
70000;19989.01;15892.58;16118.26;17619.16;18247.79;17100.86;17736.57;18997.35;972.3;558.6;888.3;
