Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
219000;33177.817;28752.786;31459.842;31251.372;36105.943;28992.262;29947.269;27505.995;3041.91;1747.62;2779.11;
220000;33237.46;28816.68;31625.96;31667.36;36307.34;29275.56;30029.22;27563.1;3055.8;1755.6;2791.8;
221000;33297.103;28880.574;31712.078;31733.348;36408.737;29328.858;30111.171;27620.205;3069.69;1763.58;2804.49;
222000;33356.746;28944.468;31798.196;31799.336;36510.134;29382.156;30193.122;27677.31;3083.58;1771.56;2817.18;
223000;33416.389;29008.362;31884.314;31865.324;36611.531;29435.454;30275.073;27734.415;3097.47;1779.54;2829.87;
224000;33476.032;29072.256;31970.432;31931.312;36712.928;29488.752;30357.024;27791.52;3111.36;1787.52;2842.56;
225000;33655.675;29246.15;32056.55;31997.3;36814.325;29542.05;30438.975;27848.625;3125.25;1795.5;2855.25;
226000;33715.318;29310.044;32142.668;32063.288;36915.722;29595.348;30520.926;27905.73;3139.14;1803.48;2867.94;
227000;33774.961;29373.938;32228.786;32129.276;37017.119;29648.646;30602.877;27962.835;3153.03;1811.46;2880.63;
228000;33834.604;29437.832;32314.904;32195.264;37118.516;29701.944;30684.828;28019.94;3166.92;1819.44;2893.32;
229000;33894.247;29501.726;32401.022;32261.252;37219.913;29755.242;30766.779;28077.045;3180.81;1827.42;2906.01;
230000;33953.89;29565.62;32487.14;32327.24;37321.31;29808.54;30848.73;28134.15;3194.7;1835.4;2918.7;
231000;34013.533;29629.514;32573.258;32393.228;37422.707;29861.838;30930.681;28191.255;3208.59;1843.38;2931.39;
232000;34073.176;29693.408;32659.376;32459.216;37524.104;29915.136;31012.632;28248.36;3222.48;1851.36;2944.08;
233000;34132.819;29757.302;32745.494;32525.204;37625.501;29968.434;31094.583;28305.465;3236.37;1859.34;2956.77;
234000;34192.462;29821.196;32831.612;32591.192;37726.898;30021.732;31176.534;28362.57;3250.26;1867.32;2969.46;
235000;34786.105;30265.09;33267.73;33107.18;38178.295;30455.03;31258.485;28419.675;3264.15;1875.3;2982.15;
236000;34845.748;30328.984;33353.848;33173.168;38279.692;30508.328;31340.436;28476.78;3278.04;1883.28;2994.84;
237000;34905.391;30392.878;33439.966;33239.156;38381.089;30561.626;31422.387;28533.885;3291.93;1891.26;3007.53;
238000;34965.034;30456.772;33526.084;33305.144;38482.486;30614.924;31504.338;28590.99;3305.82;1899.24;3020.22;
239000;35024.677;30520.666;33612.202;33371.132;38583.883;30668.222;31586.289;28648.095;3319.71;1907.22;3032.91;
240000;35204.32;30694.56;34228.32;33787.12;39285.28;30951.52;31668.24;28705.2;3333.6;1915.2;3045.6;
241000;35263.963;30758.454;34314.438;33853.108;39386.677;31004.818;31750.191;28762.305;3347.49;1923.18;3058.29;
242000;35323.606;30822.348;34400.556;33919.096;39488.074;31058.116;31832.142;28819.41;3361.38;1931.16;3070.98;
243000;35383.249;30886.242;34486.674;33985.084;39589.471;31111.414;31914.093;28876.515;3375.27;1939.14;3083.67;
244000;35442.892;30950.136;34572.792;34051.072;39690.868;31164.712;31996.044;28933.62;3389.16;1947.12;3096.36;
245000;35502.535;31014.03;34658.91;34117.06;39792.265;31218.01;32077.995;28990.725;3403.05;1955.1;3109.05;
246000;35562.178;31077.924;34745.028;34183.048;39893.662;31271.308;32159.946;29047.83;3416.94;1963.08;3121.74;
247000;35621.821;31141.818;34831.146;34249.036;39995.059;31324.606;32241.897;29104.935;3430.83;1971.06;3134.43;
248000;35681.464;31205.712;34917.264;34315.024;40096.456;31377.904;32323.848;29162.04;3444.72;1979.04;3147.12;
249000;35741.107;31269.606;35003.382;34381.012;40197.853;31431.202;32405.799;29219.145;3458.61;1987.02;3159.81;
250000;35800.75;31333.5;35089.5;34447.0;40299.25;31484.5;32487.75;29276.25;3472.5;1995.0;3172.5;
251000;35860.393;31397.394;35175.618;34512.988;40400.647;31537.798;32569.701;29333.355;3486.39;2002.98;3185.19;
252000;35920.036;31461.288;35261.736;34578.976;40502.044;31591.096;32651.652;29390.46;3500.28;2010.96;3197.88;
253000;35979.679;31525.182;35347.854;34644.964;40603.441;31644.394;32733.603;29447.565;3514.17;2018.94;3210.57;
254000;36039.322;31589.076;35433.972;34710.952;40704.838;31697.692;32815.554;29504.67;3528.06;2026.92;3223.26;
255000;36218.965;31762.97;35520.09;34776.94;40806.235;31750.99;32897.505;29561.775;3541.95;2034.9;3235.95;
256000;36278.608;31826.864;35606.208;34842.928;40907.632;31804.288;32979.456;29618.88;3555.84;2042.88;3248.64;
257000;36338.251;31890.758;35692.326;34908.916;41009.029;31857.586;33061.407;29675.985;3569.73;2050.86;3261.33;
258000;36397.894;31954.652;35778.444;34974.904;41110.426;31910.884;33143.358;29733.09;3583.62;2058.84;3274.02;
259000;36457.537;32018.546;35864.562;35040.892;41211.823;31964.182;33225.309;29790.195;3597.51;2066.82;3286.71;
260000;36517.18;32082.44;36030.68;35456.88;41413.22;32247.48;33307.26;29847.3;3611.4;2074.8;3299.4;
261000;36576.823;32146.334;36116.798;35522.868;41514.617;32300.778;33389.211;29904.405;3625.29;2082.78;3312.09;
262000;36636.466;32210.228;36202.916;35588.856;41616.014;32354.076;33471.162;29961.51;3639.18;2090.76;3324.78;
263000;36696.109;32274.122;36289.034;35654.844;41717.411;32407.374;33553.113;30018.615;3653.07;2098.74;3337.47;
264000;36755.752;32338.016;36375.152;35720.832;41818.808;32460.672;33635.064;30075.72;3666.96;2106.72;3350.16;
265000;36815.395;32401.91;36461.27;35786.82;41920.205;32513.97;33717.015;30132.825;3680.85;2114.7;3362.85;
266000;36875.038;32465.804;36547.388;35852.808;42021.602;32567.268;33798.966;30189.93;3694.74;2122.68;3375.54;
267000;36934.681;32529.698;36633.506;35918.796;42122.999;32620.566;33880.917;30247.035;3708.63;2130.66;3388.23;
268000;36994.324;32593.592;36719.624;35984.784;42224.396;32673.864;33962.868;30304.14;3722.52;2138.64;3400.92;
269000;37053.967;32657.486;36805.742;36050.772;42325.793;32727.162;34044.819;30361.245;3736.41;2146.62;3413.61;
270000;37983.61;33381.38;36891.86;36116.76;42427.19;33380.46;34126.77;30418.35;3750.3;2154.6;3426.3;
271000;38043.253;33445.274;36977.978;36182.748;42528.587;33433.758;34208.721;30475.455;3764.19;2162.58;3438.99;
272000;38102.896;33509.168;37064.096;36248.736;42629.984;33487.056;34290.672;30532.56;3778.08;2170.56;3451.68;
273000;38162.539;33573.062;37150.214;36314.724;42731.381;33540.354;34372.623;30589.665;3791.97;2178.54;3464.37;
274000;38222.182;33636.956;37236.332;36380.712;42832.778;33593.652;34454.574;30646.77;3805.86;2186.52;3477.06;
275000;38281.825;33700.85;37322.45;36446.7;42934.175;33646.95;34536.525;30703.875;3819.75;2194.5;3489.75;
276000;38341.468;33764.744;37408.568;36512.688;43035.572;33700.248;34618.476;30760.98;3833.64;2202.48;3502.44;
277000;38401.111;33828.638;37494.686;36578.676;43136.969;33753.546;34700.427;30818.085;3847.53;2210.46;3515.13;
278000;38460.754;33892.532;37580.804;36644.664;43238.366;33806.844;34782.378;30875.19;3861.42;2218.44;3527.82;
279000;38520.397;33956.426;37666.922;36710.652;43339.763;33860.142;34864.329;30932.295;3875.31;2226.42;3540.51;
280000;38580.04;34020.32;37833.04;37126.64;43541.16;34143.44;34946.28;30989.4;3889.2;2234.4;3553.2;
281000;38639.683;34084.214;37919.158;37192.628;43642.557;34196.738;35028.231;31046.505;3903.09;2242.38;3565.89;
282000;39233.326;34528.108;38355.276;37708.616;44093.954;34630.036;35110.182;31103.61;3916.98;2250.36;3578.58;
283000;39292.969;34592.002;38441.394;37774.604;44195.351;34683.334;35192.133;31160.715;3930.87;2258.34;3591.27;
284000;39352.612;34655.896;38527.512;37840.592;44296.748;34736.632;35274.084;31217.82;3944.76;2266.32;3603.96;
285000;39532.255;34829.79;38613.63;37906.58;44398.145;34789.93;35356.035;31274.925;3958.65;2274.3;3616.65;
286000;39591.898;34893.684;38699.748;37972.568;44499.542;34843.228;35437.986;31332.03;3972.54;2282.28;3629.34;
287000;39651.541;34957.578;38785.866;38038.556;44600.939;34896.526;35519.937;31389.135;3986.43;2290.26;3642.03;
288000;39711.184;35021.472;38871.984;38104.544;44702.336;34949.824;35601.888;31446.24;4000.32;2298.24;3654.72;
289000;39770.827;35085.366;38958.102;38170.532;44803.733;35003.122;35683.839;31503.345;4014.21;2306.22;3667.41;
290000;39830.47;35149.26;39044.22;38236.52;44905.13;35056.42;35765.79;31560.45;4028.1;2314.2;3680.1;
291000;39890.113;35213.154;39130.338;38302.508;45006.527;35109.718;35847.741;31617.555;4041.99;2322.18;3692.79;
292000;39949.756;35277.048;39216.456;38368.496;45107.924;35163.016;35929.692;31674.66;4055.88;2330.16;3705.48;
293000;40009.399;35340.942;39302.574;38434.484;45209.321;35216.314;36011.643;31731.765;4069.77;2338.14;3718.17;
294000;40069.042;35404.836;39388.692;38500.472;45310.718;35269.612;36093.594;31788.87;4083.66;2346.12;3730.86;
295000;40128.685;35468.73;39474.81;38566.46;45412.115;35322.91;36175.545;31845.975;4097.55;2354.1;3743.55;
296000;40188.328;35532.624;39560.928;38632.448;45513.512;35376.208;36257.496;31903.08;4111.44;2362.08;3756.24;
297000;40247.971;35596.518;39647.046;38698.436;45614.909;35429.506;36339.447;31960.185;4125.33;2370.06;3768.93;
298000;40307.614;35660.412;39733.164;38764.424;45716.306;35482.804;36421.398;32017.29;4139.22;2378.04;3781.62;
299000;40367.257;35724.306;39819.282;38830.412;45817.703;35536.102;36503.349;32074.395;4153.11;2386.02;3794.31;
300000;40546.9;35898.2;39985.4;39246.4;46019.1;35819.4;36585.3;32131.5;4167.0;2394.0;3807.0;
