Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Panda 1.2 e;Fiat Panda 1.3 d;Renault Clio III essence 75 ch;
56000;19165.608;15248.704;15318.688;16490.928;17300.552;16842.448;18418.424;14045.576;15202.288;13666.192;
57000;19227.601;15319.038;15413.486;16559.516;17412.169;16921.956;18472.503;14120.497;15257.686;13754.874;
58000;19289.594;15389.372;15508.284;16628.104;17523.786;17001.464;18526.582;14195.418;15313.084;13843.556;
59000;19351.587;15459.706;15603.082;16696.692;17635.403;17080.972;18580.661;14270.339;15368.482;13932.238;
60000;19533.58;15640.04;15777.88;17115.28;17847.02;17160.48;18834.74;14345.26;15423.88;14220.92;
61000;19595.573;15710.374;15872.678;17183.868;17958.637;17239.988;18888.819;14420.181;15479.278;14309.602;
62000;19657.566;15780.708;15967.476;17252.456;18070.254;17319.496;18942.898;14495.102;15534.676;14398.284;
63000;19719.559;15851.042;16062.274;17321.044;18181.871;17399.004;18996.977;14570.023;15590.074;14486.966;
64000;19781.552;15921.376;16157.072;17389.632;18293.488;17478.512;19051.056;14644.944;15645.472;14575.648;
65000;19843.545;15991.71;16251.87;17458.22;18405.105;17558.02;19105.135;14719.865;15700.87;14664.33;
66000;19905.538;16062.044;16346.668;17526.808;18516.722;17637.528;19159.214;14794.786;15756.268;14753.012;
67000;19967.531;16132.378;16441.466;17595.396;18628.339;17717.036;19213.293;14869.707;15811.666;14841.694;
68000;20029.524;16202.712;16536.264;17663.984;18739.956;17796.544;19267.372;14944.628;15867.064;14930.376;
69000;20091.517;16273.046;16631.062;17732.572;18851.573;17876.052;19321.451;15019.549;15922.462;15019.058;
70000;20153.51;16343.38;16725.86;17801.16;18963.19;17955.56;19375.53;15094.47;15977.86;15107.74;
71000;20215.503;16413.714;16820.658;17869.748;19074.807;18035.068;19429.609;15169.391;16033.258;15196.422;
72000;20277.496;16484.048;16915.456;17938.336;19186.424;18114.576;19483.688;15244.312;16088.656;15285.104;
73000;20339.489;16554.382;17010.254;18006.924;19298.041;18194.084;19537.767;15319.233;16144.054;15373.786;
74000;20401.482;16624.716;17105.052;18075.512;19409.658;18273.592;19591.846;15394.154;16199.452;15462.468;
75000;20583.475;16805.05;17199.85;18144.1;19521.275;18353.1;19645.925;15469.075;16254.85;15551.15;
76000;20645.468;16875.384;17294.648;18212.688;19632.892;18432.608;19700.004;15543.996;16310.248;15639.832;
77000;20707.461;16945.718;17389.446;18281.276;19744.509;18512.116;19754.083;15618.917;16365.646;15728.514;
78000;20769.454;17016.052;17484.244;18349.864;19856.126;18591.624;19808.162;15693.838;16421.044;15817.196;
79000;20831.447;17086.386;17579.042;18418.452;19967.743;18671.132;19862.241;15768.759;16476.442;15905.878;
80000;20893.44;17156.72;18203.84;18837.04;20679.36;18750.64;19916.32;15843.68;16531.84;15994.56;
81000;20955.433;17227.054;18298.638;18905.628;20790.977;18830.148;19970.399;15918.601;16587.238;16083.242;
82000;21017.426;17297.388;18393.436;18974.216;20902.594;18909.656;20024.478;15993.522;16642.636;16171.924;
83000;21079.419;17367.722;18488.234;19042.804;21014.211;18989.164;20078.557;16068.443;16698.034;16260.606;
84000;21141.412;17438.056;18583.032;19111.392;21125.828;19068.672;20132.636;16143.364;16753.432;16349.288;
85000;21203.405;17508.39;18677.83;19179.98;21237.445;19148.18;20186.715;16218.285;16808.83;16437.97;
86000;21265.398;17578.724;18772.628;19248.568;21349.062;19227.688;20240.794;16293.206;16864.228;16526.652;
87000;21327.391;17649.058;18867.426;19317.156;21460.679;19307.196;20294.873;16368.127;16919.626;16615.334;
88000;21389.384;17719.392;18962.224;19385.744;21572.296;19386.704;20348.952;16443.048;16975.024;16704.016;
89000;21451.377;17789.726;19057.022;19454.332;21683.913;19466.212;20403.031;16517.969;17030.422;16792.698;
90000;22383.37;18520.06;19151.82;19522.92;21795.53;19545.72;21157.11;16592.89;17085.82;17581.38;
91000;22445.363;18590.394;19246.618;19591.508;21907.147;19625.228;21211.189;16667.811;17141.218;17670.062;
92000;22507.356;18660.728;19341.416;19660.096;22018.764;19704.736;21265.268;16742.732;17196.616;17758.744;
93000;22569.349;18731.062;19436.214;19728.684;22130.381;19784.244;21319.347;16817.653;17252.014;17847.426;
94000;23165.342;19181.396;19881.012;20247.272;22591.998;19863.752;21873.426;17392.574;17807.412;18436.108;
95000;23227.335;19251.73;19975.81;20315.86;22703.615;19943.26;21927.505;17467.495;17862.81;18524.79;
96000;23289.328;19322.064;20070.608;20384.448;22815.232;20022.768;21981.584;17542.416;17918.208;18613.472;
97000;23351.321;19392.398;20165.406;20453.036;22926.849;20102.276;22035.663;17617.337;17973.606;18702.154;
98000;23413.314;19462.732;20260.204;20521.624;23038.466;20181.784;22089.742;17692.258;18029.004;18790.836;
99000;23475.307;19533.066;20355.002;20590.212;23150.083;20261.292;22143.821;17767.179;18084.402;18879.518;
100000;23672.3;19603.4;20529.8;21008.8;23361.7;20340.8;22197.9;17842.1;18139.8;18968.2;
101000;23734.293;19673.734;20624.598;21077.388;23473.317;20420.308;22251.979;17917.021;18195.198;19056.882;
102000;23796.286;19744.068;20719.396;21145.976;23584.934;20499.816;22306.058;17991.942;18250.596;19145.564;
103000;23858.279;19814.402;20814.194;21214.564;23696.551;20579.324;22360.137;18066.863;18305.994;19234.246;
104000;23920.272;19884.736;20908.992;21283.152;23808.168;20658.832;22414.216;18141.784;18361.392;19322.928;
105000;24102.265;20065.07;21003.79;21351.74;23919.785;20738.34;22468.295;18216.705;18416.79;19411.61;
106000;24164.258;20135.404;21098.588;21420.328;24031.402;20817.848;22522.374;18291.626;18472.188;19500.292;
107000;24226.251;20205.738;21193.386;21488.916;24143.019;20897.356;22576.453;18366.547;18527.586;19588.974;
108000;24288.244;20276.072;21288.184;21557.504;24254.636;20976.864;22630.532;18441.468;18582.984;19677.656;
109000;24350.237;20346.406;21382.982;21626.092;24366.253;21056.372;22684.611;18516.389;18638.382;19766.338;
110000;24412.23;20416.74;21477.78;21694.68;24477.87;21135.88;22738.69;18591.31;18693.78;19855.02;
111000;24474.223;20487.074;21572.578;21763.268;24589.487;21215.388;22792.769;18666.231;18749.178;19943.702;
112000;24536.216;20557.408;21667.376;21831.856;24701.104;21294.896;22846.848;18741.152;18804.576;20032.384;
113000;24598.209;20627.742;21762.174;21900.444;24812.721;21374.404;22900.927;18816.073;18859.974;20121.066;
114000;24660.202;20698.076;21856.972;21969.032;24924.338;21453.912;22955.006;18890.994;18915.372;20209.748;
115000;24722.195;20768.41;21951.77;22037.62;25035.955;21533.42;23009.085;18965.915;18970.77;20298.43;
116000;24784.188;20838.744;22046.568;22106.208;25147.572;21612.928;23063.164;19040.836;19026.168;20387.112;
117000;24846.181;20909.078;22141.366;22174.796;25259.189;21692.436;23117.243;19115.757;19081.566;20475.794;
118000;24908.174;20979.412;22236.164;22243.384;25370.806;21771.944;23171.322;19190.678;19136.964;20564.476;
119000;24970.167;21049.746;22330.962;22311.972;25482.423;21851.452;23225.401;19265.599;19192.362;20653.158;
120000;25152.16;21230.08;22505.76;22730.56;25694.04;21930.96;23479.48;19340.52;19247.76;20941.84;
121000;25214.153;21300.414;22600.558;22799.148;25805.657;22010.468;23533.559;19415.441;19303.158;21030.522;
122000;25276.146;21370.748;22695.356;22867.736;25917.274;22089.976;23587.638;19490.362;19358.556;21119.204;
123000;25338.139;21441.082;22790.154;22936.324;26028.891;22169.484;23641.717;19565.283;19413.954;21207.886;
124000;25400.132;21511.416;22884.952;23004.912;26140.508;22248.992;23695.796;19640.204;19469.352;21296.568;
125000;25462.125;21581.75;22979.75;23073.5;26252.125;22328.5;23749.875;19715.125;19524.75;21385.25;
126000;25524.118;21652.084;23074.548;23142.088;26363.742;22408.008;23803.954;19790.046;19580.148;21473.932;
127000;25586.111;21722.418;23169.346;23210.676;26475.359;22487.516;23858.033;19864.967;19635.546;21562.614;
128000;25648.104;21792.752;23264.144;23279.264;26586.976;22567.024;23912.112;19939.888;19690.944;21651.296;
129000;25710.097;21863.086;23358.942;23347.852;26698.593;22646.532;23966.191;20014.809;19746.342;21739.978;
130000;25772.09;21933.42;23453.74;23416.44;26810.21;22726.04;24020.27;20089.73;19801.74;21828.66;
131000;25834.083;22003.754;23548.538;23485.028;26921.827;22805.548;24074.349;20164.651;19857.138;21917.342;
132000;25896.076;22074.088;23643.336;23553.616;27033.444;22885.056;24128.428;20239.572;19912.536;22006.024;
133000;25958.069;22144.422;23738.134;23622.204;27145.061;22964.564;24182.507;20314.493;19967.934;22094.706;
134000;26020.062;22214.756;23832.932;23690.792;27256.678;23044.072;24236.586;20389.414;20023.332;22183.388;
135000;26202.055;22395.09;23927.73;23759.38;27368.295;23123.58;24290.665;20464.335;20078.73;22272.07;
136000;26264.048;22465.424;24022.528;23827.968;27479.912;23203.088;24344.744;20539.256;20134.128;22360.752;
137000;26326.041;22535.758;24117.326;23896.556;27591.529;23282.596;24398.823;20614.177;20189.526;22449.434;
138000;26388.034;22606.092;24212.124;23965.144;27703.146;23362.104;24452.902;20689.098;20244.924;22538.116;
139000;26450.027;22676.426;24306.922;24033.732;27814.763;23441.612;24506.981;20764.019;20300.322;22626.798;
140000;26512.02;22746.76;24481.72;24452.32;28026.38;23521.12;24561.06;20838.94;20355.72;22715.48;
141000;27108.013;23197.094;24926.518;24970.908;28487.997;23600.628;25115.139;21413.861;20911.118;23304.162;
142000;27170.006;23267.428;25021.316;25039.496;28599.614;23680.136;25169.218;21488.782;20966.516;23392.844;
143000;27231.999;23337.762;25116.114;25108.084;28711.231;23759.644;25223.297;21563.703;21021.914;23481.526;
144000;27293.992;23408.096;25210.912;25176.672;28822.848;23839.152;25277.376;21638.624;21077.312;23570.208;
145000;27355.985;23478.43;25305.71;25245.26;28934.465;23918.66;25331.455;21713.545;21132.71;23658.89;
146000;27417.978;23548.764;25400.508;25313.848;29046.082;23998.168;25385.534;21788.466;21188.108;23747.572;
147000;27479.971;23619.098;25495.306;25382.436;29157.699;24077.676;25439.613;21863.387;21243.506;23836.254;
148000;27541.964;23689.432;25590.104;25451.024;29269.316;24157.184;25493.692;21938.308;21298.904;23924.936;
149000;27603.957;23759.766;25684.902;25519.612;29380.933;24236.692;25547.771;22013.229;21354.302;24013.618;
150000;27785.95;23940.1;25779.7;25588.2;29492.55;24316.2;25801.85;22088.15;21409.7;24302.3;
151000;27847.943;24010.434;25874.498;25656.788;29604.167;24395.708;25855.929;22163.071;21465.098;24390.982;
152000;27909.936;24080.768;25969.296;25725.376;29715.784;24475.216;25910.008;22237.992;21520.496;24479.664;
153000;27971.929;24151.102;26064.094;25793.964;29827.401;24554.724;25964.087;22312.913;21575.894;24568.346;
154000;28033.922;24221.436;26158.892;25862.552;29939.018;24634.232;26018.166;22387.834;21631.292;24657.028;
155000;28095.915;24291.77;26253.69;25931.14;30050.635;24713.74;26072.245;22462.755;21686.69;24745.71;
156000;28157.908;24362.104;26348.488;25999.728;30162.252;24793.248;26126.324;22537.676;21742.088;24834.392;
157000;28219.901;24432.438;26443.286;26068.316;30273.869;24872.756;26180.403;22612.597;21797.486;24923.074;
158000;28281.894;24502.772;26538.084;26136.904;30385.486;24952.264;26234.482;22687.518;21852.884;25011.756;
159000;28343.887;24573.106;26632.882;26205.492;30497.103;25031.772;26288.561;22762.439;21908.282;25100.438;
160000;28405.88;24643.44;27257.68;26624.08;31208.72;25111.28;26342.64;22837.36;21963.68;25189.12;
161000;28467.873;24713.774;27352.478;26692.668;31320.337;25190.788;26396.719;22912.281;22019.078;25277.802;
162000;28529.866;24784.108;27447.276;26761.256;31431.954;25270.296;26450.798;22987.202;22074.476;25366.484;
163000;28591.859;24854.442;27542.074;26829.844;31543.571;25349.804;26504.877;23062.123;22129.874;25455.166;
164000;28653.852;24924.776;27636.872;26898.432;31655.188;25429.312;26558.956;23137.044;22185.272;25543.848;
165000;28835.845;25105.11;27731.67;26967.02;31766.805;25508.82;26613.035;23211.965;22240.67;25632.53;
166000;28897.838;25175.444;27826.468;27035.608;31878.422;25588.328;26667.114;23286.886;22296.068;25721.212;
167000;28959.831;25245.778;27921.266;27104.196;31990.039;25667.836;26721.193;23361.807;22351.466;25809.894;
168000;29021.824;25316.112;28016.064;27172.784;32101.656;25747.344;26775.272;23436.728;22406.864;25898.576;
169000;29083.817;25386.446;28110.862;27241.372;32213.273;25826.852;26829.351;23511.649;22462.262;25987.258;
170000;29145.81;25456.78;28205.66;27309.96;32324.89;25906.36;26883.43;23586.57;22517.66;26075.94;
171000;29207.803;25527.114;28300.458;27378.548;32436.507;25985.868;26937.509;23661.491;22573.058;26164.622;
172000;29269.796;25597.448;28395.256;27447.136;32548.124;26065.376;26991.588;23736.412;22628.456;26253.304;
173000;29331.789;25667.782;28490.054;27515.724;32659.741;26144.884;27045.667;23811.333;22683.854;26341.986;
174000;29393.782;25738.116;28584.852;27584.312;32771.358;26224.392;27099.746;23886.254;22739.252;26430.668;
175000;29455.775;25808.45;28679.65;27652.9;32882.975;26303.9;27153.825;23961.175;22794.65;26519.35;
176000;29517.768;25878.784;28774.448;27721.488;32994.592;26383.408;27207.904;24036.096;22850.048;26608.032;
177000;29579.761;25949.118;28869.246;27790.076;33106.209;26462.916;27261.983;24111.017;22905.446;26696.714;
178000;29641.754;26019.452;28964.044;27858.664;33217.826;26542.424;27316.062;24185.938;22960.844;26785.396;
179000;29703.747;26089.786;29058.842;27927.252;33329.443;26621.932;27370.141;24260.859;23016.242;26874.078;
180000;30635.74;26820.12;29233.64;28345.84;33541.06;26701.44;28124.22;24335.78;23071.64;27662.76;
181000;30697.733;26890.454;29328.438;28414.428;33652.677;26780.948;28178.299;24410.701;23127.038;27751.442;
182000;30759.726;26960.788;29423.236;28483.016;33764.294;26860.456;28232.378;24485.622;23182.436;27840.124;
183000;30821.719;27031.122;29518.034;28551.604;33875.911;26939.964;28286.457;24560.543;23237.834;27928.806;
184000;30883.712;27101.456;29612.832;28620.192;33987.528;27019.472;28340.536;24635.464;23293.232;28017.488;
185000;30945.705;27171.79;29707.63;28688.78;34099.145;27098.98;28394.615;24710.385;23348.63;28106.17;
186000;31007.698;27242.124;29802.428;28757.368;34210.762;27178.488;28448.694;24785.306;23404.028;28194.852;
187000;31069.691;27312.458;29897.226;28825.956;34322.379;27257.996;28502.773;24860.227;23459.426;28283.534;
188000;31665.684;27762.792;30342.024;29344.544;34783.996;27337.504;29056.852;25435.148;24014.824;28872.216;
189000;31727.677;27833.126;30436.822;29413.132;34895.613;27417.012;29110.931;25510.069;24070.222;28960.898;
190000;31789.67;27903.46;30531.62;29481.72;35007.23;27496.52;29165.01;25584.99;24125.62;29049.58;
191000;31851.663;27973.794;30626.418;29550.308;35118.847;27576.028;29219.089;25659.911;24181.018;29138.262;
192000;31913.656;28044.128;30721.216;29618.896;35230.464;27655.536;29273.168;25734.832;24236.416;29226.944;
193000;31975.649;28114.462;30816.014;29687.484;35342.081;27735.044;29327.247;25809.753;24291.814;29315.626;
194000;32037.642;28184.796;30910.812;29756.072;35453.698;27814.552;29381.326;25884.674;24347.212;29404.308;
195000;32219.635;28365.13;31005.61;29824.66;35565.315;27894.06;29435.405;25959.595;24402.61;29492.99;
196000;32281.628;28435.464;31100.408;29893.248;35676.932;27973.568;29489.484;26034.516;24458.008;29581.672;
197000;32343.621;28505.798;31195.206;29961.836;35788.549;28053.076;29543.563;26109.437;24513.406;29670.354;
198000;32405.614;28576.132;31290.004;30030.424;35900.166;28132.584;29597.642;26184.358;24568.804;29759.036;
199000;32467.607;28646.466;31384.802;30099.012;36011.783;28212.092;29651.721;26259.279;24624.202;29847.718;
200000;33554.6;28716.8;31559.6;30517.6;36223.4;28291.6;29705.8;26334.2;24679.6;29936.4;
201000;33616.593;28787.134;31654.398;30586.188;36335.017;28371.108;29759.879;26409.121;24734.998;30025.082;
202000;33678.586;28857.468;31749.196;30654.776;36446.634;28450.616;29813.958;26484.042;24790.396;30113.764;
203000;33740.579;28927.802;31843.994;30723.364;36558.251;28530.124;29868.037;26558.963;24845.794;30202.446;
204000;33802.572;28998.136;31938.792;30791.952;36669.868;28609.632;29922.116;26633.884;24901.192;30291.128;
205000;33864.565;29068.47;32033.59;30860.54;36781.485;28689.14;29976.195;26708.805;24956.59;30379.81;
206000;33926.558;29138.804;32128.388;30929.128;36893.102;28768.648;30030.274;26783.726;25011.988;30468.492;
207000;33988.551;29209.138;32223.186;30997.716;37004.719;28848.156;30084.353;26858.647;25067.386;30557.174;
208000;34050.544;29279.472;32317.984;31066.304;37116.336;28927.664;30138.432;26933.568;25122.784;30645.856;
209000;34112.537;29349.806;32412.782;31134.892;37227.953;29007.172;30192.511;27008.489;25178.182;30734.538;
210000;34294.53;29530.14;32507.58;31203.48;37339.57;29086.68;30446.59;27083.41;25233.58;31023.22;
211000;34356.523;29600.474;32602.378;31272.068;37451.187;29166.188;30500.669;27158.331;25288.978;31111.902;
212000;34418.516;29670.808;32697.176;31340.656;37562.804;29245.696;30554.748;27233.252;25344.376;31200.584;
213000;34480.509;29741.142;32791.974;31409.244;37674.421;29325.204;30608.827;27308.173;25399.774;31289.266;
214000;34542.502;29811.476;32886.772;31477.832;37786.038;29404.712;30662.906;27383.094;25455.172;31377.948;
215000;34604.495;29881.81;32981.57;31546.42;37897.655;29484.22;30716.985;27458.015;25510.57;31466.63;
216000;34666.488;29952.144;33076.368;31615.008;38009.272;29563.728;30771.064;27532.936;25565.968;31555.312;
217000;34728.481;30022.478;33171.166;31683.596;38120.889;29643.236;30825.143;27607.857;25621.366;31643.994;
218000;34790.474;30092.812;33265.964;31752.184;38232.506;29722.744;30879.222;27682.778;25676.764;31732.676;
219000;34852.467;30163.146;33360.762;31820.772;38344.123;29802.252;30933.301;27757.699;25732.162;31821.358;
220000;34914.46;30233.48;33535.56;32239.36;38555.74;29881.76;30987.38;27832.62;25787.56;31910.04;
221000;34976.453;30303.814;33630.358;32307.948;38667.357;29961.268;31041.459;27907.541;25842.958;31998.722;
222000;35038.446;30374.148;33725.156;32376.536;38778.974;30040.776;31095.538;27982.462;25898.356;32087.404;
223000;35100.439;30444.482;33819.954;32445.124;38890.591;30120.284;31149.617;28057.383;25953.754;32176.086;
224000;35162.432;30514.816;33914.752;32513.712;39002.208;30199.792;31203.696;28132.304;26009.152;32264.768;
225000;35344.425;30695.15;34009.55;32582.3;39113.825;30279.3;31257.775;28207.225;26064.55;32353.45;
226000;35406.418;30765.484;34104.348;32650.888;39225.442;30358.808;31311.854;28282.146;26119.948;32442.132;
227000;35468.411;30835.818;34199.146;32719.476;39337.059;30438.316;31365.933;28357.067;26175.346;32530.814;
228000;35530.404;30906.152;34293.944;32788.064;39448.676;30517.824;31420.012;28431.988;26230.744;32619.496;
229000;35592.397;30976.486;34388.742;32856.652;39560.293;30597.332;31474.091;28506.909;26286.142;32708.178;
230000;35654.39;31046.82;34483.54;32925.24;39671.91;30676.84;31528.17;28581.83;26341.54;32796.86;
231000;35716.383;31117.154;34578.338;32993.828;39783.527;30756.348;31582.249;28656.751;26396.938;32885.542;
232000;35778.376;31187.488;34673.136;33062.416;39895.144;30835.856;31636.328;28731.672;26452.336;32974.224;
233000;35840.369;31257.822;34767.934;33131.004;40006.761;30915.364;31690.407;28806.593;26507.734;33062.906;
234000;35902.362;31328.156;34862.732;33199.592;40118.378;30994.872;31744.486;28881.514;26563.132;33151.588;
235000;36498.355;31778.49;35307.53;33718.18;40579.995;31074.38;32298.565;29456.435;27118.53;33740.27;
236000;36560.348;31848.824;35402.328;33786.768;40691.612;31153.888;32352.644;29531.356;27173.928;33828.952;
237000;36622.341;31919.158;35497.126;33855.356;40803.229;31233.396;32406.723;29606.277;27229.326;33917.634;
238000;36684.334;31989.492;35591.924;33923.944;40914.846;31312.904;32460.802;29681.198;27284.724;34006.316;
239000;36746.327;32059.826;35686.722;33992.532;41026.463;31392.412;32514.881;29756.119;27340.122;34094.998;
240000;36928.32;32240.16;36311.52;34411.12;41738.08;31471.92;32768.96;29831.04;27395.52;34383.68;
241000;36990.313;32310.494;36406.318;34479.708;41849.697;31551.428;32823.039;29905.961;27450.918;34472.362;
242000;37052.306;32380.828;36501.116;34548.296;41961.314;31630.936;32877.118;29980.882;27506.316;34561.044;
243000;37114.299;32451.162;36595.914;34616.884;42072.931;31710.444;32931.197;30055.803;27561.714;34649.726;
244000;37176.292;32521.496;36690.712;34685.472;42184.548;31789.952;32985.276;30130.724;27617.112;34738.408;
245000;37238.285;32591.83;36785.51;34754.06;42296.165;31869.46;33039.355;30205.645;27672.51;34827.09;
246000;37300.278;32662.164;36880.308;34822.648;42407.782;31948.968;33093.434;30280.566;27727.908;34915.772;
247000;37362.271;32732.498;36975.106;34891.236;42519.399;32028.476;33147.513;30355.487;27783.306;35004.454;
248000;37424.264;32802.832;37069.904;34959.824;42631.016;32107.984;33201.592;30430.408;27838.704;35093.136;
249000;37486.257;32873.166;37164.702;35028.412;42742.633;32187.492;33255.671;30505.329;27894.102;35181.818;
250000;37548.25;32943.5;37259.5;35097.0;42854.25;32267.0;33309.75;30580.25;27949.5;35270.5;
251000;37610.243;33013.834;37354.298;35165.588;42965.867;32346.508;33363.829;30655.171;28004.898;35359.182;
252000;37672.236;33084.168;37449.096;35234.176;43077.484;32426.016;33417.908;30730.092;28060.296;35447.864;
