Kilometres;Dacia Sandero 1.2;Dacia Logan 1.2;Fiat Panda 1.3 d;Dacia Logan 1.5 dci;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Skoda Fabia 1.4 TDI;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Renault Clio III essence 75 ch;Toyota Yaris;Toyota Aygo 1.1
178000;33217.826;26938.49916;25134.164;28441.068;27826.922;28506.584;30355.67662;28706.58286;24185.938;26542.424;26785.396;33498.648;24809.452;
179000;33329.443;27022.86938;25192.502;28516.074;27883.871;28578.812;30435.96441;28764.68473;24260.859;26621.932;26874.078;33559.764;24879.786;
180000;33541.06;27178.4396;25400.84;28671.08;28640.82;29001.04;31290.5522;29597.0866;24335.78;26701.44;27662.76;34360.88;25500.12;
181000;33652.677;27262.80982;25459.178;28746.086;28697.769;29073.268;31370.83999;29655.18847;24410.701;26780.948;27751.442;34421.996;25570.454;
182000;33764.294;27347.18004;25517.516;28821.092;28754.718;29145.496;31451.12778;29713.29034;24485.622;26860.456;27840.124;34483.112;25640.788;
183000;33875.911;27431.55026;25575.854;28896.098;28811.667;29217.724;31531.41557;29771.39221;24560.543;26939.964;27928.806;34544.228;25711.122;
184000;33987.528;27515.92048;25634.192;28971.104;28868.616;29289.952;31611.70336;29829.49408;24635.464;27019.472;28017.488;34605.344;25781.456;
185000;34099.145;27600.2907;25692.53;29046.11;28925.565;29362.18;31691.99115;29887.59595;24710.385;27098.98;28106.17;34666.46;25851.79;
186000;34210.762;27684.66092;25750.868;29121.116;28982.514;29434.408;31772.27894;29945.69782;24785.306;27178.488;28194.852;34727.576;25922.124;
187000;34322.379;27769.03114;25809.206;29196.122;29039.463;29506.636;31852.56673;30003.79969;24860.227;27257.996;28283.534;34788.692;25992.458;
188000;34783.996;28203.40136;26367.544;29621.128;29596.412;30028.864;32466.85452;30595.90156;25435.148;27337.504;28872.216;34849.808;26442.792;
189000;34895.613;28287.77158;26425.882;29696.134;29653.361;30101.092;32547.14231;30654.00343;25510.069;27417.012;28960.898;34910.924;26513.126;
190000;35007.23;28372.1418;26484.22;29771.14;29710.31;30173.32;32627.4301;30712.1053;25584.99;27496.52;29049.58;34972.04;26583.46;
191000;35118.847;28456.51202;26542.558;29846.146;29767.259;30245.548;32707.71789;30770.20717;25659.911;27576.028;29138.262;35033.156;26653.794;
192000;35230.464;28540.88224;26600.896;29921.152;29824.208;30317.776;32788.00568;30828.30904;25734.832;27655.536;29226.944;35094.272;26724.128;
193000;35342.081;28625.25246;26659.234;29996.158;29881.157;30390.004;32868.29347;30886.41091;25809.753;27735.044;29315.626;35155.388;26794.462;
194000;35453.698;28709.62268;26717.572;30071.164;29938.106;30462.232;32948.58126;30944.51278;25884.674;27814.552;29404.308;35216.504;26864.796;
195000;35565.315;28793.9929;26925.91;30146.17;29995.055;30534.46;33135.66905;31109.41465;25959.595;27894.06;29492.99;35597.62;26935.13;
196000;35676.932;28878.36312;26984.248;30221.176;30052.004;30606.688;33215.95684;31167.51652;26034.516;27973.568;29581.672;35658.736;27005.464;
197000;35788.549;28962.73334;27042.586;30296.182;30108.953;30678.916;33296.24463;31225.61839;26109.437;28053.076;29670.354;35719.852;27075.798;
198000;35900.166;29047.10356;27100.924;30371.188;30165.902;30751.144;33376.53242;31283.72026;26184.358;28132.584;29759.036;35780.968;27146.132;
199000;36011.783;29131.47378;27159.262;30446.194;30222.851;30823.372;33456.82021;31341.82213;26259.279;28212.092;29847.718;35842.084;27216.466;
200000;36223.4;29287.044;27217.6;30601.2;30279.8;31245.6;34449.358;32312.174;26334.2;28291.6;29936.4;35903.2;27286.8;
201000;36335.017;29371.41422;27275.938;30676.206;30336.749;31317.828;34529.64579;32370.27587;26409.121;28371.108;30025.082;35964.316;27357.134;
202000;36446.634;29455.78444;27334.276;30751.212;30393.698;31390.056;34609.93358;32428.37774;26484.042;28450.616;30113.764;36025.432;27427.468;
203000;36558.251;29540.15466;27392.614;30826.218;30450.647;31462.284;34690.22137;32486.47961;26558.963;28530.124;30202.446;36086.548;27497.802;
204000;36669.868;29624.52488;27450.952;30901.224;30507.596;31534.512;34770.50916;32544.58148;26633.884;28609.632;30291.128;36147.664;27568.136;
205000;36781.485;29708.8951;27509.29;30976.23;30564.545;31606.74;34850.79695;32602.68335;26708.805;28689.14;30379.81;36208.78;27638.47;
206000;36893.102;29793.26532;27567.628;31051.236;30621.494;31678.968;34931.08474;32660.78522;26783.726;28768.648;30468.492;36269.896;27708.804;
207000;37004.719;29877.63554;27625.966;31126.242;30678.443;31751.196;35011.37253;32718.88709;26858.647;28848.156;30557.174;36331.012;27779.138;
208000;37116.336;29962.00576;27684.304;31201.248;30735.392;31823.424;35091.66032;32776.98896;26933.568;28927.664;30645.856;36392.128;27849.472;
209000;37227.953;30046.37598;27742.642;31276.254;30792.341;31895.652;35171.94811;32835.09083;27008.489;29007.172;30734.538;36453.244;27919.806;
210000;37339.57;30130.7462;27950.98;31351.26;31049.29;31967.88;35359.0359;32999.9927;27083.41;29086.68;31023.22;37254.36;27990.14;
211000;37451.187;30215.11642;28009.318;31426.266;31106.239;32040.108;35439.32369;33058.09457;27158.331;29166.188;31111.902;37315.476;28060.474;
212000;37562.804;30299.48664;28067.656;31501.272;31163.188;32112.336;35519.61148;33116.19644;27233.252;29245.696;31200.584;37376.592;28130.808;
213000;37674.421;30383.85686;28125.994;31576.278;31220.137;32184.564;35599.89927;33174.29831;27308.173;29325.204;31289.266;37437.708;28201.142;
214000;37786.038;30468.22708;28184.332;31651.284;31277.086;32256.792;35680.18706;33232.40018;27383.094;29404.712;31377.948;37498.824;28271.476;
215000;37897.655;30552.5973;28242.67;31726.29;31334.035;32329.02;35760.47485;33290.50205;27458.015;29484.22;31466.63;37559.94;28341.81;
216000;38009.272;30636.96752;28301.008;31801.296;31390.984;32401.248;35840.76264;33348.60392;27532.936;29563.728;31555.312;37621.056;28412.144;
217000;38120.889;30721.33774;28359.346;31876.302;31447.933;32473.476;35921.05043;33406.70579;27607.857;29643.236;31643.994;37682.172;28482.478;
218000;38232.506;30805.70796;28417.684;31951.308;31504.882;32545.704;36001.33822;33464.80766;27682.778;29722.744;31732.676;37743.288;28552.812;
219000;38344.123;30890.07818;28476.022;32026.314;31561.831;32617.932;36081.62601;33522.90953;27757.699;29802.252;31821.358;37804.404;28623.146;
220000;38555.74;31045.6484;28534.36;32181.32;31618.78;33040.16;36161.9138;33581.0114;27832.62;29881.76;31910.04;37865.52;28693.48;
221000;38667.357;31130.01862;28592.698;32256.326;31675.729;33112.388;36242.20159;33639.11327;27907.541;29961.268;31998.722;37926.636;28763.814;
222000;38778.974;31214.38884;28651.036;32331.332;31732.678;33184.616;36322.48938;33697.21514;27982.462;30040.776;32087.404;37987.752;28834.148;
223000;38890.591;31298.75906;28709.374;32406.338;31789.627;33256.844;36402.77717;33755.31701;28057.383;30120.284;32176.086;38048.868;28904.482;
224000;39002.208;31383.12928;28767.712;32481.344;31846.576;33329.072;36483.06496;33813.41888;28132.304;30199.792;32264.768;38109.984;28974.816;
225000;39113.825;31467.4995;28976.05;32556.35;31903.525;33401.3;36670.15275;33978.32075;28207.225;30279.3;32353.45;38491.1;29045.15;
226000;39225.442;31551.86972;29034.388;32631.356;31960.474;33473.528;36750.44054;34036.42262;28282.146;30358.808;32442.132;38552.216;29115.484;
227000;39337.059;31636.23994;29092.726;32706.362;32017.423;33545.756;36830.72833;34094.52449;28357.067;30438.316;32530.814;38613.332;29185.818;
228000;39448.676;31720.61016;29151.064;32781.368;32074.372;33617.984;36911.01612;34152.62636;28431.988;30517.824;32619.496;38674.448;29256.152;
229000;39560.293;31804.98038;29209.402;32856.374;32131.321;33690.212;36991.30391;34210.72823;28506.909;30597.332;32708.178;38735.564;29326.486;
230000;39671.91;31889.3506;29267.74;32931.38;32188.27;33762.44;37071.5917;34268.8301;28581.83;30676.84;32796.86;38796.68;29396.82;
231000;39783.527;31973.72082;29326.078;33006.386;32245.219;33834.668;37151.87949;34326.93197;28656.751;30756.348;32885.542;38857.796;29467.154;
232000;39895.144;32058.09104;29384.416;33081.392;32302.168;33906.896;37232.16728;34385.03384;28731.672;30835.856;32974.224;38918.912;29537.488;
233000;40006.761;32142.46126;29442.754;33156.398;32359.117;33979.124;37312.45507;34443.13571;28806.593;30915.364;33062.906;38980.028;29607.822;
234000;40118.378;32226.83148;29501.092;33231.404;32416.066;34051.352;37392.74286;34501.23758;28881.514;30994.872;33151.588;39041.144;29678.156;
235000;40579.995;32661.2017;30059.43;33656.41;32973.015;34573.58;38007.03065;35093.33945;29456.435;31074.38;33740.27;39102.26;30128.49;
236000;40691.612;32745.57192;30117.768;33731.416;33029.964;34645.808;38087.31844;35151.44132;29531.356;31153.888;33828.952;39163.376;30198.824;
237000;40803.229;32829.94214;30176.106;33806.422;33086.913;34718.036;38167.60623;35209.54319;29606.277;31233.396;33917.634;39224.492;30269.158;
238000;40914.846;32914.31236;30234.444;33881.428;33143.862;34790.264;38247.89402;35267.64506;29681.198;31312.904;34006.316;39285.608;30339.492;
239000;41026.463;32998.68258;30292.782;33956.434;33200.811;34862.492;38328.18181;35325.74693;29756.119;31392.412;34094.998;39346.724;30409.826;
240000;41738.08;33554.7528;30501.12;34561.44;33457.76;35284.72;38515.2696;35490.6488;29831.04;31471.92;34383.68;40147.84;30480.16;
241000;41849.697;33639.12302;30559.458;34636.446;33514.709;35356.948;38595.55739;35548.75067;29905.961;31551.428;34472.362;40208.956;30550.494;
242000;41961.314;33723.49324;30617.796;34711.452;33571.658;35429.176;38675.84518;35606.85254;29980.882;31630.936;34561.044;40270.072;30620.828;
243000;42072.931;33807.86346;30676.134;34786.458;33628.607;35501.404;38756.13297;35664.95441;30055.803;31710.444;34649.726;40331.188;30691.162;
244000;42184.548;33892.23368;30734.472;34861.464;33685.556;35573.632;38836.42076;35723.05628;30130.724;31789.952;34738.408;40392.304;30761.496;
245000;42296.165;33976.6039;30792.81;34936.47;33742.505;35645.86;38916.70855;35781.15815;30205.645;31869.46;34827.09;40453.42;30831.83;
246000;42407.782;34060.97412;30851.148;35011.476;33799.454;35718.088;38996.99634;35839.26002;30280.566;31948.968;34915.772;40514.536;30902.164;
247000;42519.399;34145.34434;30909.486;35086.482;33856.403;35790.316;39077.28413;35897.36189;30355.487;32028.476;35004.454;40575.652;30972.498;
248000;42631.016;34229.71456;30967.824;35161.488;33913.352;35862.544;39157.57192;35955.46376;30430.408;32107.984;35093.136;40636.768;31042.832;
249000;42742.633;34314.08478;31026.162;35236.494;33970.301;35934.772;39237.85971;36013.56563;30505.329;32187.492;35181.818;40697.884;31113.166;
250000;42854.25;34398.455;31084.5;35311.5;34027.25;36007.0;39318.1475;36071.6675;30580.25;32267.0;35270.5;40759.0;31183.5;
251000;42965.867;34482.82522;31142.838;35386.506;34084.199;36079.228;39398.43529;36129.76937;30655.171;32346.508;35359.182;40820.116;31253.834;
252000;43077.484;34567.19544;31201.176;35461.512;34141.148;36151.456;39478.72308;36187.87124;30730.092;32426.016;35447.864;40881.232;31324.168;
253000;43189.101;34651.56566;31259.514;35536.518;34198.097;36223.684;39559.01087;36245.97311;30805.013;32505.524;35536.546;40942.348;31394.502;
254000;43300.718;34735.93588;31317.852;35611.524;34255.046;36295.912;39639.29866;36304.07498;30879.934;32585.032;35625.228;41003.464;31464.836;
255000;43412.335;34820.3061;31526.19;35686.53;34311.995;36368.14;39826.38645;36468.97685;30954.855;32664.54;35713.91;41384.58;31535.17;
256000;43523.952;34904.67632;31584.528;35761.536;34368.944;36440.368;39906.67424;36527.07872;31029.776;32744.048;35802.592;41445.696;31605.504;
257000;43635.569;34989.04654;31642.866;35836.542;34425.893;36512.596;39986.96203;36585.18059;31104.697;32823.556;35891.274;41506.812;31675.838;
258000;43747.186;35073.41676;31701.204;35911.548;34482.842;36584.824;40067.24982;36643.28246;31179.618;32903.064;35979.956;41567.928;31746.172;
259000;43858.803;35157.78698;31759.542;35986.554;34539.791;36657.052;40147.53761;36701.38433;31254.539;32982.572;36068.638;41629.044;31816.506;
260000;44070.42;35313.3572;31817.88;36141.56;34596.74;37079.28;40227.8254;36759.4862;31329.46;33062.08;36157.32;41690.16;31886.84;
261000;44182.037;35397.72742;31876.218;36216.566;34653.689;37151.508;40308.11319;36817.58807;31404.381;33141.588;36246.002;41751.276;31957.174;
262000;44293.654;35482.09764;31934.556;36291.572;34710.638;37223.736;40388.40098;36875.68994;31479.302;33221.096;36334.684;41812.392;32027.508;
263000;44405.271;35566.46786;31992.894;36366.578;34767.587;37295.964;40468.68877;36933.79181;31554.223;33300.604;36423.366;41873.508;32097.842;
264000;44516.888;35650.83808;32051.232;36441.584;34824.536;37368.192;40548.97656;36991.89368;31629.144;33380.112;36512.048;41934.624;32168.176;
265000;44628.505;35735.2083;32109.57;36516.59;34881.485;37440.42;40629.26435;37049.99555;31704.065;33459.62;36600.73;41995.74;32238.51;
266000;44740.122;35819.57852;32167.908;36591.596;34938.434;37512.648;40709.55214;37108.09742;31778.986;33539.128;36689.412;42056.856;32308.844;
267000;44851.739;35903.94874;32226.246;36666.602;34995.383;37584.876;40789.83993;37166.19929;31853.907;33618.636;36778.094;42117.972;32379.178;
268000;44963.356;35988.31896;32284.584;36741.608;35052.332;37657.104;40870.12772;37224.30116;31928.828;33698.144;36866.776;42179.088;32449.512;
269000;45074.973;36072.68918;32342.922;36816.614;35109.281;37729.332;40950.41551;37282.40303;32003.749;33777.652;36955.458;42240.204;32519.846;
270000;45186.59;36157.0594;32551.26;36891.62;35866.23;37801.56;41805.0033;38114.8049;32078.67;33857.16;37744.14;43041.32;33140.18;
271000;45298.207;36241.42962;32609.598;36966.626;35923.179;37873.788;41885.29109;38172.90677;32153.591;33936.668;37832.822;43102.436;33210.514;
272000;45409.824;36325.79984;32667.936;37041.632;35980.128;37946.016;41965.57888;38231.00864;32228.512;34016.176;37921.504;43163.552;33280.848;
273000;45521.441;36410.17006;32726.274;37116.638;36037.077;38018.244;42045.86667;38289.11051;32303.433;34095.684;38010.186;43224.668;33351.182;
274000;45633.058;36494.54028;32784.612;37191.644;36094.026;38090.472;42126.15446;38347.21238;32378.354;34175.192;38098.868;43285.784;33421.516;
275000;45744.675;36578.9105;32842.95;37266.65;36150.975;38162.7;42206.44225;38405.31425;32453.275;34254.7;38187.55;43346.9;33491.85;
276000;45856.292;36663.28072;32901.288;37341.656;36207.924;38234.928;42286.73004;38463.41612;32528.196;34334.208;38276.232;43408.016;33562.184;
277000;45967.909;36747.65094;32959.626;37416.662;36264.873;38307.156;42367.01783;38521.51799;32603.117;34413.716;38364.914;43469.132;33632.518;
278000;46079.526;36832.02116;33017.964;37491.668;36321.822;38379.384;42447.30562;38579.61986;32678.038;34493.224;38453.596;43530.248;33702.852;
279000;46191.143;36916.39138;33076.302;37566.674;36378.771;38451.612;42527.59341;38637.72173;32752.959;34572.732;38542.278;43591.364;33773.186;
280000;46402.76;37071.9616;33134.64;37721.68;36435.72;38873.84;42607.8812;38695.8236;32827.88;34652.24;38630.96;43652.48;33843.52;
281000;46514.377;37156.33182;33192.978;37796.686;36492.669;38946.068;42688.16899;38753.92547;32902.801;34731.748;38719.642;43713.596;33913.854;
282000;46975.994;37590.70204;33751.316;38221.692;37049.618;39468.296;43302.45678;39346.02734;33477.722;34811.256;39308.324;43774.712;34364.188;
283000;47087.611;37675.07226;33809.654;38296.698;37106.567;39540.524;43382.74457;39404.12921;33552.643;34890.764;39397.006;43835.828;34434.522;
284000;47199.228;37759.44248;33867.992;38371.704;37163.516;39612.752;43463.03236;39462.23108;33627.564;34970.272;39485.688;43896.944;34504.856;
285000;47310.845;37843.8127;34076.33;38446.71;37220.465;39684.98;43650.12015;39627.13295;33702.485;35049.78;39574.37;44278.06;34575.19;
286000;47422.462;37928.18292;34134.668;38521.716;37277.414;39757.208;43730.40794;39685.23482;33777.406;35129.288;39663.052;44339.176;34645.524;
287000;47534.079;38012.55314;34193.006;38596.722;37334.363;39829.436;43810.69573;39743.33669;33852.327;35208.796;39751.734;44400.292;34715.858;
288000;47645.696;38096.92336;34251.344;38671.728;37391.312;39901.664;43890.98352;39801.43856;33927.248;35288.304;39840.416;44461.408;34786.192;
289000;47757.313;38181.29358;34309.682;38746.734;37448.261;39973.892;43971.27131;39859.54043;34002.169;35367.812;39929.098;44522.524;34856.526;
290000;47868.93;38265.6638;34368.02;38821.74;37505.21;40046.12;44051.5591;39917.6423;34077.09;35447.32;40017.78;44583.64;34926.86;
291000;47980.547;38350.03402;34426.358;38896.746;37562.159;40118.348;44131.84689;39975.74417;34152.011;35526.828;40106.462;44644.756;34997.194;
292000;48092.164;38434.40424;34484.696;38971.752;37619.108;40190.576;44212.13468;40033.84604;34226.932;35606.336;40195.144;44705.872;35067.528;
293000;48203.781;38518.77446;34543.034;39046.758;37676.057;40262.804;44292.42247;40091.94791;34301.853;35685.844;40283.826;44766.988;35137.862;
294000;48315.398;38603.14468;34601.372;39121.764;37733.006;40335.032;44372.71026;40150.04978;34376.774;35765.352;40372.508;44828.104;35208.196;
295000;48427.015;38687.5149;34659.71;39196.77;37789.955;40407.26;44452.99805;40208.15165;34451.695;35844.86;40461.19;44889.22;35278.53;
296000;48538.632;38771.88512;34718.048;39271.776;37846.904;40479.488;44533.28584;40266.25352;34526.616;35924.368;40549.872;44950.336;35348.864;
297000;48650.249;38856.25534;34776.386;39346.782;37903.853;40551.716;44613.57363;40324.35539;34601.537;36003.876;40638.554;45011.452;35419.198;
298000;48761.866;38940.62556;34834.724;39421.788;37960.802;40623.944;44693.86142;40382.45726;34676.458;36083.384;40727.236;45072.568;35489.532;
299000;48873.483;39024.99578;34893.062;39496.794;38017.751;40696.172;44774.14921;40440.55913;34751.379;36162.892;40815.918;45133.684;35559.866;
300000;49085.1;39180.566;35101.4;39651.8;38274.7;41118.4;45081.387;40725.611;34826.3;36242.4;41104.6;45934.8;35630.2;
