Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Renault Clio III essence 75 ch;
107000;24226.251;20205.738;20897.356;22576.453;19963.974;
108000;24288.244;20276.072;20976.864;22630.532;20052.656;
109000;24350.237;20346.406;21056.372;22684.611;20141.338;
110000;24412.23;20416.74;21135.88;22738.69;20230.02;
111000;24474.223;20487.074;21215.388;22792.769;20318.702;
112000;24536.216;20557.408;21294.896;22846.848;20432.384;
113000;24598.209;20627.742;21374.404;22900.927;20521.066;
114000;24660.202;20698.076;21453.912;22955.006;20609.748;
115000;24722.195;20768.41;21533.42;23009.085;20698.43;
116000;24784.188;20838.744;21612.928;23063.164;20787.112;
117000;24846.181;20909.078;21692.436;23117.243;20875.794;
118000;24908.174;20979.412;21771.944;23171.322;20964.476;
119000;24970.167;21049.746;21851.452;23225.401;21078.158;
120000;25152.16;21230.08;21930.96;23479.48;21366.84;
121000;25214.153;21300.414;22010.468;23533.559;21455.522;
122000;25276.146;21370.748;22089.976;23587.638;21544.204;
123000;25338.139;21441.082;22169.484;23641.717;21632.886;
124000;25400.132;21511.416;22248.992;23695.796;21721.568;
125000;25462.125;21581.75;22328.5;23749.875;21810.25;
126000;25524.118;21652.084;22408.008;23803.954;21923.932;
127000;25586.111;21722.418;22487.516;23858.033;22012.614;
128000;25648.104;21792.752;22567.024;23912.112;22101.296;
129000;25710.097;21863.086;22646.532;23966.191;22189.978;
130000;25772.09;21933.42;22726.04;24020.27;22278.66;
131000;25834.083;22003.754;22805.548;24074.349;22367.342;
132000;25896.076;22074.088;22885.056;24128.428;22456.024;
133000;25958.069;22144.422;22964.564;24182.507;22569.706;
134000;26020.062;22214.756;23044.072;24236.586;22658.388;
135000;26202.055;22395.09;23123.58;24290.665;22747.07;
136000;26264.048;22465.424;23203.088;24344.744;22835.752;
137000;26326.041;22535.758;23282.596;24398.823;22924.434;
138000;26388.034;22606.092;23362.104;24452.902;23013.116;
139000;26450.027;22676.426;23441.612;24506.981;23101.798;
140000;26512.02;22746.76;23521.12;24561.06;23215.48;
141000;27108.013;23197.094;23600.628;25115.139;23804.162;
142000;27170.006;23267.428;23680.136;25169.218;23892.844;
143000;27231.999;23337.762;23759.644;25223.297;23981.526;
144000;27293.992;23408.096;23839.152;25277.376;24070.208;
145000;27355.985;23478.43;23918.66;25331.455;24158.89;
146000;27417.978;23548.764;23998.168;25385.534;24247.572;
147000;27479.971;23619.098;24077.676;25439.613;24361.254;
148000;27541.964;23689.432;24157.184;25493.692;24449.936;
149000;27603.957;23759.766;24236.692;25547.771;24538.618;
150000;27785.95;23940.1;24316.2;25801.85;24827.3;
151000;27847.943;24010.434;24395.708;25855.929;24915.982;
152000;27909.936;24080.768;24475.216;25910.008;25004.664;
153000;27971.929;24151.102;24554.724;25964.087;25093.346;
154000;28033.922;24221.436;24634.232;26018.166;25207.028;
155000;28095.915;24291.77;24713.74;26072.245;25295.71;
156000;28157.908;24362.104;24793.248;26126.324;25384.392;
157000;28219.901;24432.438;24872.756;26180.403;25473.074;
